# Mach, alpha, config, Label
1.25,   0.00, poweroff,  
1.25,   1.00, poweroff,  
1.25,   2.00, poweroff,  
1.25,   5.00, poweroff,  
1.50,   0.00, poweroff,  
1.50,   1.00, poweroff,  
1.50,   2.00, poweroff,  
1.50,   5.00, poweroff,  
1.75,   0.00, poweroff,  
1.75,   1.00, poweroff,  
1.75,   2.00, poweroff,  
1.75,   5.00, poweroff,  
2.00,   0.00, poweroff,  
2.00,   1.00, poweroff,  
2.00,   2.00, poweroff,  
2.00,   5.00, poweroff,  
2.50,   0.00, poweroff,  
2.50,   1.00, poweroff,  
2.50,   2.00, poweroff,  
2.50,   5.00, poweroff,  
