# Kestrel Force/Moment Coefficient Tracking File
# ------------------------------------------------------------------------------
# Job name = pykes
# Job description = 
# Number of dimensions in simulation = 2
# Body path = airfoil
# Mesh path:name = naca64A010.avm:naca64A010
# Output coordinate system = xByUzL
# Moment reference location (m) = 0.250000, 0.000000, 0.000000
# Reference area (m^2) = 1.000000                                         [AREA]
# Moment reference length about x-axis (m) = 1.000000                     [LENX]
# Moment reference length about y-axis (m) = 1.000000                     [LENY]
# Moment reference length about z-axis (m) = 1.000000                     [LENZ]
# Reference Mach = 0.800000                                               [MACH]
# Reference static pressure (N/m^2) = 101325.000000             [STATICPRESSURE]
# Reference dynamic pressure (N/m^2) = 45393.600000            [DYNAMICPRESSURE]
# Reference temperature (K) = 410.592770                           [TEMPERATURE]
# Reference angle of attack (deg) = 4.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITER"           "TIME"            "AOA"           "BETA"         "CAXIAL"        "CNORMAL"          "CLIFT"          "CDRAG"          "CSIDE"         "CPITCH"          "CROLL"           "CYAW"
 ZONE T="pykes"
       1   1.00000000E+00   4.00000000E+00   0.00000000E+00   3.95053024E-01   5.00160705E-01   4.71384832E-01   4.28980141E-01   0.00000000E+00  -1.07449537E-01   0.00000000E+00   0.00000000E+00
       2   2.00000000E+00   4.00000000E+00   0.00000000E+00   2.61370981E-01   3.27506215E-01   3.08476108E-01   2.83579973E-01   0.00000000E+00  -7.38899044E-02   0.00000000E+00   0.00000000E+00
       3   3.00000000E+00   4.00000000E+00   0.00000000E+00   2.11806187E-01   3.42245252E-01   3.26636707E-01   2.35164060E-01   0.00000000E+00  -7.72193688E-02   0.00000000E+00   0.00000000E+00
       4   4.00000000E+00   4.00000000E+00   0.00000000E+00   1.74909814E-01   3.37067431E-01   3.24045260E-01   1.97996378E-01   0.00000000E+00  -7.43990199E-02   0.00000000E+00   0.00000000E+00
       5   5.00000000E+00   4.00000000E+00   0.00000000E+00   1.38774649E-01   3.23654270E-01   3.13185435E-01   1.61013581E-01   0.00000000E+00  -6.84257958E-02   0.00000000E+00   0.00000000E+00
       6   6.00000000E+00   4.00000000E+00   0.00000000E+00   1.08790355E-01   3.11394367E-01   3.03046995E-01   1.30247120E-01   0.00000000E+00  -6.02124833E-02   0.00000000E+00   0.00000000E+00
       7   7.00000000E+00   4.00000000E+00   0.00000000E+00   8.64855529E-02   3.04590876E-01   2.97815981E-01   1.07522064E-01   0.00000000E+00  -5.17418570E-02   0.00000000E+00   0.00000000E+00
       8   8.00000000E+00   4.00000000E+00   0.00000000E+00   7.32289782E-02   3.05417993E-01   2.99565815E-01   9.43554783E-02   0.00000000E+00  -4.53734956E-02   0.00000000E+00   0.00000000E+00
       9   9.00000000E+00   4.00000000E+00   0.00000000E+00   6.77531771E-02   3.13689640E-01   3.08199285E-01   8.94700169E-02   0.00000000E+00  -4.11282720E-02   0.00000000E+00   0.00000000E+00
      10   1.00000000E+01   4.00000000E+00   0.00000000E+00   6.69505566E-02   3.26363853E-01   3.20898613E-01   8.95534599E-02   0.00000000E+00  -4.02697642E-02   0.00000000E+00   0.00000000E+00
      11   1.10000000E+01   4.00000000E+00   0.00000000E+00   6.66057338E-02   3.33752009E-01   3.28292824E-01   8.97248488E-02   0.00000000E+00  -4.08920607E-02   0.00000000E+00   0.00000000E+00
      12   1.20000000E+01   4.00000000E+00   0.00000000E+00   6.57253670E-02   3.45988711E-01   3.40561130E-01   8.97002157E-02   0.00000000E+00  -4.17893730E-02   0.00000000E+00   0.00000000E+00
      13   1.30000000E+01   4.00000000E+00   0.00000000E+00   6.34100895E-02   3.54113088E-01   3.48827222E-01   8.79573061E-02   0.00000000E+00  -4.24700018E-02   0.00000000E+00   0.00000000E+00
      14   1.40000000E+01   4.00000000E+00   0.00000000E+00   6.01552950E-02   3.61054965E-01   3.55979232E-01   8.51946809E-02   0.00000000E+00  -4.28078078E-02   0.00000000E+00   0.00000000E+00
      15   1.50000000E+01   4.00000000E+00   0.00000000E+00   5.68678281E-02   3.67915920E-01   3.63052796E-01   8.23938181E-02   0.00000000E+00  -4.27614102E-02   0.00000000E+00   0.00000000E+00
      16   1.60000000E+01   4.00000000E+00   0.00000000E+00   5.34572440E-02   3.73589967E-01   3.68950932E-01   7.93873436E-02   0.00000000E+00  -4.23374555E-02   0.00000000E+00   0.00000000E+00
      17   1.70000000E+01   4.00000000E+00   0.00000000E+00   5.04558275E-02   3.79205520E-01   3.74762174E-01   7.67849596E-02   0.00000000E+00  -4.16063891E-02   0.00000000E+00   0.00000000E+00
      18   1.80000000E+01   4.00000000E+00   0.00000000E+00   4.77984449E-02   3.85329993E-01   3.81057097E-01   7.45612718E-02   0.00000000E+00  -4.11015344E-02   0.00000000E+00   0.00000000E+00
      19   1.90000000E+01   4.00000000E+00   0.00000000E+00   4.54057053E-02   3.91447010E-01   3.87326123E-01   7.26010624E-02   0.00000000E+00  -4.06648440E-02   0.00000000E+00   0.00000000E+00
      20   2.00000000E+01   4.00000000E+00   0.00000000E+00   4.32579028E-02   3.99011206E-01   3.95021716E-01   7.09861435E-02   0.00000000E+00  -4.11281050E-02   0.00000000E+00   0.00000000E+00
      21   2.10000000E+01   4.00000000E+00   0.00000000E+00   4.12510221E-02   4.07796639E-01   4.03925741E-01   6.95969922E-02   0.00000000E+00  -4.27076046E-02   0.00000000E+00   0.00000000E+00
      22   2.20000000E+01   4.00000000E+00   0.00000000E+00   3.93926180E-02   4.17828632E-01   4.14062933E-01   6.84429116E-02   0.00000000E+00  -4.50625251E-02   0.00000000E+00   0.00000000E+00
      23   2.30000000E+01   4.00000000E+00   0.00000000E+00   3.75780417E-02   4.28334429E-01   4.24669716E-01   6.73656028E-02   0.00000000E+00  -4.79514922E-02   0.00000000E+00   0.00000000E+00
      24   2.40000000E+01   4.00000000E+00   0.00000000E+00   3.57708023E-02   4.39025323E-01   4.35460634E-01   6.63085248E-02   0.00000000E+00  -5.10060547E-02   0.00000000E+00   0.00000000E+00
      25   2.50000000E+01   4.00000000E+00   0.00000000E+00   3.40251166E-02   4.49480257E-01   4.46011873E-01   6.52963909E-02   0.00000000E+00  -5.40972066E-02   0.00000000E+00   0.00000000E+00
      26   2.60000000E+01   4.00000000E+00   0.00000000E+00   3.23424960E-02   4.60158166E-01   4.56781146E-01   6.43627224E-02   0.00000000E+00  -5.73891689E-02   0.00000000E+00   0.00000000E+00
      27   2.70000000E+01   4.00000000E+00   0.00000000E+00   3.07169255E-02   4.71035976E-01   4.67745851E-01   6.34999092E-02   0.00000000E+00  -6.09334594E-02   0.00000000E+00   0.00000000E+00
      28   2.80000000E+01   4.00000000E+00   0.00000000E+00   2.91886881E-02   4.82065834E-01   4.78855446E-01   6.27447986E-02   0.00000000E+00  -6.45115420E-02   0.00000000E+00   0.00000000E+00
      29   2.90000000E+01   4.00000000E+00   0.00000000E+00   2.77462152E-02   4.93162977E-01   4.90026178E-01   6.20799371E-02   0.00000000E+00  -6.81227867E-02   0.00000000E+00   0.00000000E+00
      30   3.00000000E+01   4.00000000E+00   0.00000000E+00   2.64007522E-02   5.04277354E-01   5.01207336E-01   6.15130513E-02   0.00000000E+00  -7.15999875E-02   0.00000000E+00   0.00000000E+00
      31   3.10000000E+01   4.00000000E+00   0.00000000E+00   2.51006105E-02   5.15242313E-01   5.12236278E-01   6.09809536E-02   0.00000000E+00  -7.49104435E-02   0.00000000E+00   0.00000000E+00
      32   3.20000000E+01   4.00000000E+00   0.00000000E+00   2.38570232E-02   5.26486595E-01   5.23539919E-01   6.05247570E-02   0.00000000E+00  -7.82283082E-02   0.00000000E+00   0.00000000E+00
      33   3.30000000E+01   4.00000000E+00   0.00000000E+00   2.26534469E-02   5.37783118E-01   5.34892880E-01   6.01121182E-02   0.00000000E+00  -8.14587203E-02   0.00000000E+00   0.00000000E+00
      34   3.40000000E+01   4.00000000E+00   0.00000000E+00   2.15337430E-02   5.49269774E-01   5.46429662E-01   5.97964105E-02   0.00000000E+00  -8.46103393E-02   0.00000000E+00   0.00000000E+00
      35   3.50000000E+01   4.00000000E+00   0.00000000E+00   2.04639447E-02   5.60847336E-01   5.58053648E-01   5.95368281E-02   0.00000000E+00  -8.76966701E-02   0.00000000E+00   0.00000000E+00
      36   3.60000000E+01   4.00000000E+00   0.00000000E+00   1.95086649E-02   5.72522860E-01   5.69767367E-01   5.93983186E-02   0.00000000E+00  -9.06283168E-02   0.00000000E+00   0.00000000E+00
      37   3.70000000E+01   4.00000000E+00   0.00000000E+00   1.86212686E-02   5.83861839E-01   5.81140626E-01   5.93040511E-02   0.00000000E+00  -9.32245201E-02   0.00000000E+00   0.00000000E+00
      38   3.80000000E+01   4.00000000E+00   0.00000000E+00   1.78374458E-02   5.95142613E-01   5.92448598E-01   5.93090447E-02   0.00000000E+00  -9.55820919E-02   0.00000000E+00   0.00000000E+00
      39   3.90000000E+01   4.00000000E+00   0.00000000E+00   1.71151683E-02   6.06094839E-01   6.03424529E-01   5.93525153E-02   0.00000000E+00  -9.76233961E-02   0.00000000E+00   0.00000000E+00
      40   4.00000000E+01   4.00000000E+00   0.00000000E+00   1.65286637E-02   6.17088677E-01   6.14432499E-01   5.95343309E-02   0.00000000E+00  -9.94628143E-02   0.00000000E+00   0.00000000E+00
      41   4.10000000E+01   4.00000000E+00   0.00000000E+00   1.60214589E-02   6.28050521E-01   6.25403021E-01   5.97930211E-02   0.00000000E+00  -1.01161224E-01   0.00000000E+00   0.00000000E+00
      42   4.20000000E+01   4.00000000E+00   0.00000000E+00   1.56398953E-02   6.38773098E-01   6.36126095E-01   6.01603562E-02   0.00000000E+00  -1.02540713E-01   0.00000000E+00   0.00000000E+00
      43   4.30000000E+01   4.00000000E+00   0.00000000E+00   1.53345584E-02   6.49484435E-01   6.46832639E-01   6.06029481E-02   0.00000000E+00  -1.03807785E-01   0.00000000E+00   0.00000000E+00
      44   4.40000000E+01   4.00000000E+00   0.00000000E+00   1.51735524E-02   6.60022495E-01   6.57356259E-01   6.11774322E-02   0.00000000E+00  -1.04806752E-01   0.00000000E+00   0.00000000E+00
      45   4.50000000E+01   4.00000000E+00   0.00000000E+00   1.50861156E-02   6.70557241E-01   6.67871443E-01   6.18250751E-02   0.00000000E+00  -1.05687803E-01   0.00000000E+00   0.00000000E+00
      46   4.60000000E+01   4.00000000E+00   0.00000000E+00   1.51343040E-02   6.80688884E-01   6.77975045E-01   6.25798939E-02   0.00000000E+00  -1.06177558E-01   0.00000000E+00   0.00000000E+00
      47   4.70000000E+01   4.00000000E+00   0.00000000E+00   1.52580803E-02   6.90750564E-01   6.88003580E-01   6.34052360E-02   0.00000000E+00  -1.06588788E-01   0.00000000E+00   0.00000000E+00
      48   4.80000000E+01   4.00000000E+00   0.00000000E+00   1.54912235E-02   7.00866671E-01   6.98078782E-01   6.43434752E-02   0.00000000E+00  -1.06978891E-01   0.00000000E+00   0.00000000E+00
      49   4.90000000E+01   4.00000000E+00   0.00000000E+00   1.57601609E-02   7.10592011E-01   7.07761671E-01   6.52901628E-02   0.00000000E+00  -1.07177234E-01   0.00000000E+00   0.00000000E+00
      50   5.00000000E+01   4.00000000E+00   0.00000000E+00   1.61031280E-02   7.19876206E-01   7.16999326E-01   6.62799273E-02   0.00000000E+00  -1.07211757E-01   0.00000000E+00   0.00000000E+00
      51   5.10000000E+01   4.00000000E+00   0.00000000E+00   1.64850014E-02   7.28813221E-01   7.25887933E-01   6.72842850E-02   0.00000000E+00  -1.07190072E-01   0.00000000E+00   0.00000000E+00
      52   5.20000000E+01   4.00000000E+00   0.00000000E+00   1.69086565E-02   7.37065889E-01   7.34090945E-01   6.82825851E-02   0.00000000E+00  -1.06967630E-01   0.00000000E+00   0.00000000E+00
      53   5.30000000E+01   4.00000000E+00   0.00000000E+00   1.73625294E-02   7.44916197E-01   7.41890470E-01   6.92829623E-02   0.00000000E+00  -1.06759974E-01   0.00000000E+00   0.00000000E+00
      54   5.40000000E+01   4.00000000E+00   0.00000000E+00   1.78407014E-02   7.52021891E-01   7.48945499E-01   7.02556376E-02   0.00000000E+00  -1.06384466E-01   0.00000000E+00   0.00000000E+00
      55   5.50000000E+01   4.00000000E+00   0.00000000E+00   1.83162455E-02   7.58679631E-01   7.55553849E-01   7.11944438E-02   0.00000000E+00  -1.05992327E-01   0.00000000E+00   0.00000000E+00
      56   5.60000000E+01   4.00000000E+00   0.00000000E+00   1.88360943E-02   7.64844051E-01   7.61666990E-01   7.21430345E-02   0.00000000E+00  -1.05587136E-01   0.00000000E+00   0.00000000E+00
      57   5.70000000E+01   4.00000000E+00   0.00000000E+00   1.93523086E-02   7.70378576E-01   7.67152023E-01   7.30440602E-02   0.00000000E+00  -1.05104648E-01   0.00000000E+00   0.00000000E+00
      58   5.80000000E+01   4.00000000E+00   0.00000000E+00   1.99580885E-02   7.75837774E-01   7.72555666E-01   7.40291788E-02   0.00000000E+00  -1.04855396E-01   0.00000000E+00   0.00000000E+00
      59   5.90000000E+01   4.00000000E+00   0.00000000E+00   2.05736015E-02   7.80838510E-01   7.77501285E-01   7.49920262E-02   0.00000000E+00  -1.04681021E-01   0.00000000E+00   0.00000000E+00
      60   6.00000000E+01   4.00000000E+00   0.00000000E+00   2.12204139E-02   7.85655319E-01   7.82261241E-01   7.59732667E-02   0.00000000E+00  -1.04703996E-01   0.00000000E+00   0.00000000E+00
      61   6.10000000E+01   4.00000000E+00   0.00000000E+00   2.18570688E-02   7.90342260E-01   7.86892354E-01   7.69353152E-02   0.00000000E+00  -1.05005557E-01   0.00000000E+00   0.00000000E+00
      62   6.20000000E+01   4.00000000E+00   0.00000000E+00   2.24604900E-02   7.94790262E-01   7.91287429E-01   7.78475434E-02   0.00000000E+00  -1.05424840E-01   0.00000000E+00   0.00000000E+00
      63   6.30000000E+01   4.00000000E+00   0.00000000E+00   2.29788451E-02   7.99213843E-01   7.95664075E-01   7.86732092E-02   0.00000000E+00  -1.06037610E-01   0.00000000E+00   0.00000000E+00
