# Kestrel CFD Core Tracking File
# ------------------------------------------------------------------------------
# Job name = pykes
# Job description = 
# Number of dimensions in simulation = 2
# Body path = airfoil
# Mesh path:name = naca64A010.avm:naca64A010
# Output coordinate system = xByUzL
# Moment reference location (m) = 0.250000, 0.000000, 0.000000
# Reference area (m^2) = 1.000000                                         [AREA]
# Moment reference length about x-axis (m) = 1.000000                     [LENX]
# Moment reference length about y-axis (m) = 1.000000                     [LENY]
# Moment reference length about z-axis (m) = 1.000000                     [LENZ]
# Reference Mach = 0.800000                                               [MACH]
# Reference static pressure (N/m^2) = 101325.000000             [STATICPRESSURE]
# Reference dynamic pressure (N/m^2) = 45393.600000            [DYNAMICPRESSURE]
# Reference temperature (K) = 410.592770                           [TEMPERATURE]
# Reference angle of attack (deg) = 4.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITER"           "TIME"   "SUBIT"   "SWEEPSP"    "URES(total)"    "SRES(total)"             "Y+"   "SUPER"     "LRES(mass)"     "LRES(xmom)"     "LRES(ymom)"     "LRES(zmom)"   "LRES(energy)"     "URES(mass)"     "URES(xmom)"     "URES(ymom)"     "URES(zmom)"   "URES(energy)"     "SRES(mass)"     "SRES(xmom)"     "SRES(ymom)"     "SRES(zmom)"   "SRES(energy)"
 ZONE T="pykes"
       1   1.00000000E+00         3          20   3.47027327E+00   1.74469230E-08   2.82051744E+00         0   7.27447754E-07   6.15589234E-15   5.43545027E-15   0.00000000E+00   8.69397976E-07   5.75613944E-01   5.93174512E-01   7.69360450E+00   0.00000000E+00   5.82447535E-01   1.11504643E-08   1.33347273E-08   1.44037371E-08   0.00000000E+00   3.18176077E-08
       2   2.00000000E+00         3          22   3.09735585E+00   1.38394486E-07   2.28108964E+00         0   8.03665777E-07   6.46805874E-15   5.75364576E-15   0.00000000E+00   9.19606509E-07   3.53760012E+00   3.24585534E+00   3.59827532E+00   0.00000000E+00   3.45981063E+00   9.57923408E-08   7.52946587E-08   1.01963419E-07   0.00000000E+00   2.65561992E-07
       3   3.00000000E+00         3          22   1.95260471E+00   4.56472150E-07   1.91267772E+00         0   6.76088756E-07   7.50796343E-15   5.21471896E-15   0.00000000E+00   7.78817126E-07   2.04844930E+00   2.43230514E+00   2.16707010E+00   0.00000000E+00   2.06273606E+00   3.09704275E-07   2.92380369E-07   3.54430749E-07   0.00000000E+00   8.57210561E-07
       4   4.00000000E+00         3          22   2.26238765E+00   1.69631678E-06   1.63704520E+00         0   6.26497603E-07   8.78953337E-15   4.48356203E-15   0.00000000E+00   7.65795937E-07   2.25764158E+00   2.75922174E+00   2.70349745E+00   0.00000000E+00   2.36068651E+00   1.01438417E-06   1.37867870E-06   1.51450449E-06   0.00000000E+00   3.02720978E-06
       5   5.00000000E+00         3          21   1.99006137E+00   6.13399136E-06   1.42456087E+00         0   6.99020018E-07   9.15846408E-15   5.31509626E-15   0.00000000E+00   9.15300029E-07   2.18326125E+00   2.14872983E+00   2.42085475E+00   0.00000000E+00   2.13483349E+00   3.52422658E-06   4.94458018E-06   6.51502320E-06   0.00000000E+00   1.04314274E-05
       6   6.00000000E+00         3          21   1.51046932E+00   1.50226891E-05   1.25950799E+00         0   5.58463337E-07   6.24744002E-15   4.37666371E-15   0.00000000E+00   7.39701563E-07   1.73591663E+00   1.58291720E+00   1.76774861E+00   0.00000000E+00   1.66241368E+00   8.67915767E-06   1.12781184E-05   1.79634020E-05   0.00000000E+00   2.45600977E-05
       7   7.00000000E+00         3          20   1.18254407E+00   2.49591508E-05   1.12566521E+00         0   6.17555270E-07   6.61784030E-15   4.97681356E-15   0.00000000E+00   8.08907310E-07   1.36140599E+00   1.27236889E+00   1.33136265E+00   0.00000000E+00   1.32180823E+00   1.44687048E-05   1.78526608E-05   3.20694535E-05   0.00000000E+00   3.94751221E-05
       8   8.00000000E+00         3          20   9.67657970E-01   3.08526341E-05   1.01284544E+00       120   5.74184223E-07   5.85362175E-15   4.76964176E-15   0.00000000E+00   7.29642470E-07   1.12565907E+00   1.05219055E+00   1.03746826E+00   0.00000000E+00   1.10961978E+00   1.84766497E-05   2.11363519E-05   3.94065937E-05   0.00000000E+00   4.91773685E-05
       9   9.00000000E+00         3          19   8.12445170E-01   2.80720541E-05   9.42596178E-01       242   7.79820795E-07   7.13816685E-15   6.97937977E-15   0.00000000E+00   9.86221821E-07   9.31275450E-01   9.57521234E-01   8.01106244E-01   0.00000000E+00   9.35116935E-01   1.74829483E-05   2.03448815E-05   3.32424252E-05   0.00000000E+00   4.59953758E-05
