# Kestrel CFD Core Tracking File
# ------------------------------------------------------------------------------
# Job name = pykes
# Job description = 
# Number of dimensions in simulation = 2
# Body path = airfoil
# Mesh path:name = naca64A010.avm:naca64A010
# Output coordinate system = xByUzL
# Moment reference location (m) = 0.250000, 0.000000, 0.000000
# Reference area (m^2) = 1.000000                                         [AREA]
# Moment reference length about x-axis (m) = 1.000000                     [LENX]
# Moment reference length about y-axis (m) = 1.000000                     [LENY]
# Moment reference length about z-axis (m) = 1.000000                     [LENZ]
# Reference Mach = 0.800000                                               [MACH]
# Reference static pressure (N/m^2) = 101325.000000             [STATICPRESSURE]
# Reference dynamic pressure (N/m^2) = 45393.600000            [DYNAMICPRESSURE]
# Reference temperature (K) = 410.592770                           [TEMPERATURE]
# Reference angle of attack (deg) = 4.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITER"           "TIME"   "SUBIT"   "SWEEPSP"    "URES(total)"    "SRES(total)"             "Y+"   "SUPER"     "LRES(mass)"     "LRES(xmom)"     "LRES(ymom)"     "LRES(zmom)"   "LRES(energy)"     "URES(mass)"     "URES(xmom)"     "URES(ymom)"     "URES(zmom)"   "URES(energy)"     "SRES(mass)"     "SRES(xmom)"     "SRES(ymom)"     "SRES(zmom)"   "SRES(energy)"
      10   1.00000000E+01         3          19   7.17175573E-01   2.09854302E-05   8.96691148E-01       336   7.43832028E-07   6.48827130E-15   6.95184218E-15   0.00000000E+00   9.53318553E-07   7.95714367E-01   9.64743165E-01   6.06435901E-01   0.00000000E+00   8.00030487E-01   1.36415206E-05   1.97875083E-05   1.84488324E-05   0.00000000E+00   3.58321842E-05
      11   1.10000000E+01         3          19   7.78532987E-01   1.77879483E-05   8.58507182E-01       415   6.52984460E-07   5.70714005E-15   6.17432961E-15   0.00000000E+00   8.54748168E-07   8.46590261E-01   1.01744504E+00   7.28542993E-01   0.00000000E+00   8.64802686E-01   1.12193789E-05   2.06351495E-05   1.13692094E-05   0.00000000E+00   3.00185400E-05
      12   1.20000000E+01         3          19   1.04080146E+00   2.18255669E-05   8.28075381E-01       492   5.90698128E-07   5.38543073E-15   5.57442333E-15   0.00000000E+00   7.75078800E-07   1.06489703E+00   1.09763999E+00   1.36924619E+00   0.00000000E+00   1.09666951E+00   1.26180265E-05   2.43930011E-05   1.90619890E-05   0.00000000E+00   3.55553699E-05
      13   1.30000000E+01         3          18   9.90563818E-01   2.72152786E-05   8.02698946E-01       546   7.64757855E-07   7.30189986E-15   7.21227437E-15   0.00000000E+00   9.98945245E-07   1.11296584E+00   1.08540533E+00   1.11467359E+00   0.00000000E+00   1.11659683E+00   1.55893715E-05   2.87435523E-05   2.59835245E-05   0.00000000E+00   4.42605140E-05
      14   1.40000000E+01         3          18   9.32273467E-01   3.13446632E-05   7.77348159E-01       601   7.58453786E-07   7.01635809E-15   7.28753411E-15   0.00000000E+00   9.78665754E-07   1.07415094E+00   1.06758657E+00   9.34033385E-01   0.00000000E+00   1.08614428E+00   1.84708638E-05   3.27910119E-05   2.71875590E-05   0.00000000E+00   5.25057419E-05
      15   1.50000000E+01         3          18   8.45902988E-01   3.07904705E-05   7.53200973E-01       684   7.44293091E-07   6.58244615E-15   7.24210232E-15   0.00000000E+00   9.52324698E-07   9.48894143E-01   1.01786706E+00   8.46637715E-01   0.00000000E+00   9.61514667E-01   1.82462461E-05   3.42726288E-05   2.45773121E-05   0.00000000E+00   5.12706789E-05
      16   1.60000000E+01         3          18   8.27271879E-01   3.06520020E-05   7.30056362E-01       811   6.80566641E-07   5.91972741E-15   6.65265797E-15   0.00000000E+00   8.66359441E-07   8.97580808E-01   1.01752386E+00   8.31288530E-01   0.00000000E+00   9.43317064E-01   1.76020398E-05   3.60317219E-05   2.11704456E-05   0.00000000E+00   5.13947621E-05
      17   1.70000000E+01         3          18   8.49476387E-01   2.92661743E-05   7.10274857E-01       952   5.61661751E-07   4.99982826E-15   5.47206331E-15   0.00000000E+00   7.15258822E-07   9.07323987E-01   9.99243878E-01   9.48437566E-01   0.00000000E+00   9.41696183E-01   1.60941365E-05   3.59199715E-05   2.15057496E-05   0.00000000E+00   4.76527222E-05
      18   1.80000000E+01         3          17   8.96693730E-01   3.02306177E-05   6.94154091E-01      1063   5.88546663E-07   5.71052927E-15   5.56204958E-15   0.00000000E+00   7.63360128E-07   9.72734584E-01   1.02137471E+00   1.00974285E+00   0.00000000E+00   1.00563350E+00   1.57953404E-05   3.74377255E-05   2.37818552E-05   0.00000000E+00   4.85056544E-05
      19   1.90000000E+01         3          16   9.01577216E-01   3.14697308E-05   6.81193225E-01      1182   6.90790037E-07   7.11543454E-15   6.10453919E-15   0.00000000E+00   9.20449466E-07   1.01546589E+00   1.02044391E+00   9.76808895E-01   0.00000000E+00   1.01861426E+00   1.62377230E-05   3.92327182E-05   2.50727415E-05   0.00000000E+00   5.02016690E-05
      20   2.00000000E+01         3          16   8.74627914E-01   3.17735137E-05   6.70949063E-01      1318   7.19068315E-07   7.00245041E-15   6.33788216E-15   0.00000000E+00   9.56208005E-07   1.00241466E+00   1.00697184E+00   9.10452560E-01   0.00000000E+00   9.88493115E-01   1.64462944E-05   4.07090998E-05   2.40668890E-05   0.00000000E+00   5.04068876E-05
      21   2.10000000E+01         3          16   8.58142515E-01   3.17632885E-05   6.62500669E-01      1458   7.41941118E-07   7.05375976E-15   6.66251502E-15   0.00000000E+00   9.82417440E-07   9.78224247E-01   1.01239910E+00   8.63839860E-01   0.00000000E+00   9.76703112E-01   1.64909372E-05   4.24001062E-05   2.08899863E-05   0.00000000E+00   5.03827444E-05
      22   2.20000000E+01         3          16   8.87965310E-01   3.33283152E-05   6.55120319E-01      1643   6.97830972E-07   6.80893748E-15   6.35194331E-15   0.00000000E+00   9.24502432E-07   1.00715915E+00   1.04448261E+00   8.77961412E-01   0.00000000E+00   1.03260944E+00   1.71779547E-05   4.57383615E-05   1.78111385E-05   0.00000000E+00   5.33813306E-05
      23   2.30000000E+01         3          16   9.21916887E-01   3.67453736E-05   6.48013486E-01      1804   6.92945344E-07   6.95705332E-15   6.45764539E-15   0.00000000E+00   9.20034583E-07   1.02231724E+00   1.06346459E+00   9.81243067E-01   0.00000000E+00   1.05391001E+00   1.86257153E-05   5.07852916E-05   1.78510426E-05   0.00000000E+00   5.92147750E-05
      24   2.40000000E+01         3          16   9.49250665E-01   4.20234448E-05   6.40587308E-01      1942   6.95091156E-07   7.01137413E-15   6.54986827E-15   0.00000000E+00   9.20304414E-07   1.05113610E+00   1.06684746E+00   1.05883832E+00   0.00000000E+00   1.06826725E+00   2.11216237E-05   5.75037806E-05   2.03344224E-05   0.00000000E+00   6.82902119E-05
      25   2.50000000E+01         3          16   9.43150975E-01   4.76159091E-05   6.33102422E-01      2085   7.38913384E-07   7.07545297E-15   6.88746938E-15   0.00000000E+00   9.72127015E-07   1.03568016E+00   1.07357032E+00   1.04254465E+00   0.00000000E+00   1.06563730E+00   2.33142454E-05   6.54157463E-05   2.32393023E-05   0.00000000E+00   7.72886469E-05
      26   2.60000000E+01         3          16   9.34210737E-01   5.31898683E-05   6.25891604E-01      2195   6.71164720E-07   6.57139135E-15   6.15877105E-15   0.00000000E+00   8.85239291E-07   1.02947875E+00   1.05928244E+00   1.04508889E+00   0.00000000E+00   1.04385437E+00   2.60588341E-05   7.33136960E-05   2.68137435E-05   0.00000000E+00   8.58654341E-05
      27   2.70000000E+01         3          16   9.44094247E-01   5.94077088E-05   6.19204222E-01      2332   6.16451396E-07   6.10789218E-15   5.53456449E-15   0.00000000E+00   8.13966756E-07   1.03194309E+00   1.05606706E+00   1.08577724E+00   0.00000000E+00   1.04760361E+00   2.93045909E-05   8.15096192E-05   3.23612877E-05   0.00000000E+00   9.53758319E-05
      28   2.80000000E+01         3          16   9.26840897E-01   6.55474190E-05   6.13041683E-01      2432   5.79080865E-07   5.81344672E-15   5.15677122E-15   0.00000000E+00   7.66107295E-07   1.00510122E+00   1.05076956E+00   1.04932196E+00   0.00000000E+00   1.03910949E+00   3.16364068E-05   9.05764894E-05   3.75743512E-05   0.00000000E+00   1.04237835E-04
      29   2.90000000E+01         3          16   8.98483167E-01   7.07766816E-05   6.07242227E-01      2537   5.38305667E-07   5.66602908E-15   4.86213270E-15   0.00000000E+00   7.15848984E-07   9.80627723E-01   1.03542815E+00   9.82565357E-01   0.00000000E+00   1.01842189E+00   3.29169430E-05   9.93129898E-05   4.01852827E-05   0.00000000E+00   1.11737376E-04
      30   3.00000000E+01         3          15   8.65950681E-01   7.24520562E-05   6.01795504E-01      2623   7.26780266E-07   8.06584402E-15   6.58685092E-15   0.00000000E+00   9.70084492E-07   9.37824136E-01   1.01329137E+00   9.38074672E-01   0.00000000E+00   9.81374196E-01   3.18566375E-05   1.05558861E-04   3.89715351E-05   0.00000000E+00   1.12116917E-04
      31   3.10000000E+01         3          15   8.56110624E-01   7.31170024E-05   5.96537695E-01      2712   6.84371293E-07   7.73368650E-15   6.18486127E-15   0.00000000E+00   9.14405470E-07   9.31615118E-01   9.94252287E-01   9.39412781E-01   0.00000000E+00   9.62125922E-01   3.11618038E-05   1.09359203E-04   3.81361764E-05   0.00000000E+00   1.11110840E-04
      32   3.20000000E+01         3          15   8.61425880E-01   7.29141550E-05   5.91418588E-01      2773   6.78856725E-07   7.51816859E-15   6.09894250E-15   0.00000000E+00   9.05571129E-07   9.78121096E-01   9.73373158E-01   9.28072545E-01   0.00000000E+00   9.71996863E-01   3.23721746E-05   1.10084191E-04   3.66442293E-05   0.00000000E+00   1.09877585E-04
      33   3.30000000E+01         3          15   8.56517244E-01   7.23006995E-05   5.86316651E-01      2856   6.77300401E-07   7.36435617E-15   6.05080242E-15   0.00000000E+00   9.03900946E-07   9.19437067E-01   9.73261222E-01   9.90322753E-01   0.00000000E+00   9.45921702E-01   3.19534873E-05   1.10646418E-04   3.86266060E-05   0.00000000E+00   1.06683109E-04
      34   3.40000000E+01         3          15   8.92893081E-01   7.27645338E-05   5.81337176E-01      2925   6.51226834E-07   7.01320185E-15   5.72788522E-15   0.00000000E+00   8.73738140E-07   1.04751424E+00   9.49206331E-01   9.68572041E-01   0.00000000E+00   1.02463639E+00   3.58350354E-05   1.07586888E-04   4.01375936E-05   0.00000000E+00   1.09559446E-04
      35   3.50000000E+01         3          15   8.50378962E-01   6.90788513E-05   5.76480811E-01      2976   5.70146141E-07   6.70322856E-15   5.09156136E-15   0.00000000E+00   7.80061176E-07   9.85062782E-01   9.19857049E-01   9.22855822E-01   0.00000000E+00   9.73433797E-01   3.69017756E-05   1.00486303E-04   3.85080213E-05   0.00000000E+00   1.04486040E-04
      36   3.60000000E+01         3          15   8.42874953E-01   6.97514150E-05   5.71855611E-01      3016   5.55237991E-07   6.54968210E-15   5.06797729E-15   0.00000000E+00   7.58524674E-07   8.76139215E-01   9.63439202E-01   9.49683662E-01   0.00000000E+00   9.76963077E-01   3.48119092E-05   9.96581031E-05   3.80186422E-05   0.00000000E+00   1.08338709E-04
      37   3.70000000E+01         3          15   8.42073637E-01   6.60022254E-05   5.67506461E-01      3063   5.69056622E-07   6.48860681E-15   5.17091276E-15   0.00000000E+00   7.71113334E-07   8.71145484E-01   9.38606175E-01   1.01768871E+00   0.00000000E+00   9.32670216E-01   2.96424031E-05   9.60617585E-05   3.96692287E-05   0.00000000E+00   1.00505162E-04
      38   3.80000000E+01         3          15   8.75862035E-01   6.63106145E-05   5.63262775E-01      3094   5.23225321E-07   6.42061233E-15   4.77757317E-15   0.00000000E+00   7.14521270E-07   9.15753212E-01   9.57243960E-01   1.06553669E+00   0.00000000E+00   9.72308148E-01   2.69493772E-05   9.49971942E-05   4.61198486E-05   0.00000000E+00   1.00537116E-04
      39   3.90000000E+01         3          14   9.64353035E-01   7.28586866E-05   5.59245164E-01      3118   7.06673195E-07   9.11983512E-15   6.43440516E-15   0.00000000E+00   9.68517832E-07   1.13908299E+00   9.90262846E-01   1.08258231E+00   0.00000000E+00   1.09533962E+00   3.18300570E-05   9.64533264E-05   5.57496920E-05   0.00000000E+00   1.14531726E-04
      40   4.00000000E+01         3          14   9.08924176E-01   7.19797075E-05   5.55114590E-01      3149   7.10098777E-07   8.83629406E-15   6.43296912E-15   0.00000000E+00   9.64500907E-07   1.05868303E+00   9.61838900E-01   1.04254984E+00   0.00000000E+00   9.98930324E-01   3.22905978E-05   9.28320543E-05   6.49197563E-05   0.00000000E+00   1.09682923E-04
      41   4.10000000E+01         3          14   8.93184606E-01   7.52298935E-05   5.50976277E-01      3164   6.92891278E-07   8.88485275E-15   6.41331604E-15   0.00000000E+00   9.43947350E-07   1.03230986E+00   9.74196796E-01   9.92694115E-01   0.00000000E+00   9.94348557E-01   3.64827520E-05   9.25834719E-05   7.07012471E-05   0.00000000E+00   1.15742506E-04
      42   4.20000000E+01         3          14   8.60923010E-01   7.34707768E-05   5.47006933E-01      3180   6.43535047E-07   8.74077813E-15   6.06750585E-15   0.00000000E+00   8.79415997E-07   9.87046371E-01   9.73702810E-01   9.10589206E-01   0.00000000E+00   9.76939990E-01   3.65277715E-05   9.12616356E-05   6.84803237E-05   0.00000000E+00   1.12415552E-04
      43   4.30000000E+01         3          14   8.25175078E-01   6.94410907E-05   5.42735033E-01      3194   6.53551328E-07   8.56177595E-15   5.98464983E-15   0.00000000E+00   8.85531183E-07   9.23040999E-01   9.64887669E-01   8.73909955E-01   0.00000000E+00   9.26195464E-01   3.54104368E-05   8.86861185E-05   6.19966255E-05   0.00000000E+00   1.05582277E-04
      44   4.40000000E+01         3          14   8.08859640E-01   6.40257360E-05   5.38600740E-01      3213   6.53765991E-07   8.85867610E-15   6.03005971E-15   0.00000000E+00   8.95317340E-07   9.10289862E-01   9.58828290E-01   8.25409407E-01   0.00000000E+00   9.17599901E-01   3.29498949E-05   8.59268839E-05   5.14019871E-05   0.00000000E+00   9.68771651E-05
      45   4.50000000E+01         3          14   7.89436910E-01   5.69750136E-05   5.34679466E-01      3228   6.19914343E-07   9.21173149E-15   6.02835187E-15   0.00000000E+00   8.61047678E-07   8.92776246E-01   9.44687804E-01   7.85282131E-01   0.00000000E+00   8.99944821E-01   2.93956994E-05   8.16309110E-05   3.94037804E-05   0.00000000E+00   8.45599800E-05
      46   4.60000000E+01         3          14   8.07818635E-01   5.30583849E-05   5.30836563E-01      3234   6.99377856E-07   9.47690513E-15   6.66689322E-15   0.00000000E+00   9.45243479E-07   9.36891513E-01   9.36183135E-01   7.87879594E-01   0.00000000E+00   9.42282290E-01   2.88076223E-05   7.67458409E-05   2.97043486E-05   0.00000000E+00   8.04599872E-05
      47   4.70000000E+01         3          15   8.41059315E-01   5.05026467E-05   5.26728175E-01      3242   5.83466590E-07   7.19378123E-15   5.38250244E-15   0.00000000E+00   7.78535243E-07   9.62968978E-01   9.40860667E-01   8.71496066E-01   0.00000000E+00   9.82278177E-01   2.86123611E-05   7.20707546E-05   2.48020014E-05   0.00000000E+00   7.82597373E-05
      48   4.80000000E+01         3          15   8.31740521E-01   4.41396822E-05   5.22791642E-01      3252   5.34239018E-07   7.39602410E-15   4.91026351E-15   0.00000000E+00   7.26718229E-07   8.78030517E-01   9.36285463E-01   9.94904744E-01   0.00000000E+00   9.06398348E-01   2.32782693E-05   6.74682819E-05   2.53769608E-05   0.00000000E+00   6.32749610E-05
      49   4.90000000E+01         3          14   9.80729229E-01   5.15777423E-05   5.19587112E-01      3253   7.13415513E-07   1.05893188E-14   6.60463064E-15   0.00000000E+00   9.81661769E-07   1.06787743E+00   1.01838073E+00   1.07203220E+00   0.00000000E+00   1.21755268E+00   2.57649164E-05   7.10304150E-05   2.96999130E-05   0.00000000E+00   8.19150895E-05
      50   5.00000000E+01         3          14   8.24037574E-01   4.43893664E-05   5.16369073E-01      3261   7.21706955E-07   1.05089717E-14   6.63739931E-15   0.00000000E+00   9.76399781E-07   8.96215371E-01   8.74505977E-01   1.03052212E+00   0.00000000E+00   8.74786313E-01   2.31026279E-05   5.99153235E-05   3.35235794E-05   0.00000000E+00   6.78577294E-05
      51   5.10000000E+01         3          14   8.48404143E-01   4.19988014E-05   5.12971065E-01      3272   7.32825309E-07   1.09638263E-14   6.89619365E-15   0.00000000E+00   9.86414442E-07   9.30991498E-01   9.12385226E-01   9.75151951E-01   0.00000000E+00   9.74081440E-01   2.21454506E-05   5.34013168E-05   3.47090039E-05   0.00000000E+00   6.53655873E-05
      52   5.20000000E+01         3          15   8.19367297E-01   3.94372662E-05   5.09733441E-01      3278   5.57906140E-07   8.18623915E-15   5.52120440E-15   0.00000000E+00   7.45138305E-07   9.11576809E-01   9.05607465E-01   9.12570456E-01   0.00000000E+00   9.34308216E-01   2.03245818E-05   4.91620973E-05   3.23931911E-05   0.00000000E+00   6.24273223E-05
      53   5.30000000E+01         3          15   8.32641194E-01   3.70838467E-05   5.06669395E-01      3294   6.42582222E-07   8.76201661E-15   6.30723724E-15   0.00000000E+00   8.41712391E-07   9.49151198E-01   9.11540646E-01   9.12133108E-01   0.00000000E+00   9.50092438E-01   1.95043356E-05   4.51061887E-05   2.98856223E-05   0.00000000E+00   5.97320736E-05
      54   5.40000000E+01         3          15   8.21829783E-01   3.46493676E-05   5.03494791E-01      3305   6.76677698E-07   9.30261421E-15   6.50854012E-15   0.00000000E+00   8.80282038E-07   9.48107056E-01   9.10916833E-01   8.83423777E-01   0.00000000E+00   9.31615226E-01   1.89570073E-05   4.16288327E-05   2.65107023E-05   0.00000000E+00   5.66369861E-05
      55   5.50000000E+01         3          15   7.78069303E-01   3.04673216E-05   5.00219901E-01      3319   6.48876800E-07   9.51388984E-15   6.14504369E-15   0.00000000E+00   8.48185598E-07   8.95922380E-01   9.07306554E-01   7.67067788E-01   0.00000000E+00   9.01489943E-01   1.70282547E-05   3.76441300E-05   1.95996776E-05   0.00000000E+00   5.04985057E-05
      56   5.60000000E+01         3          15   8.59696305E-01   2.97389294E-05   4.97129462E-01      3335   6.29446490E-07   9.56017822E-15   5.85561295E-15   0.00000000E+00   8.21032431E-07   9.70668928E-01   9.81368636E-01   8.92353756E-01   0.00000000E+00   9.96900644E-01   1.69399502E-05   3.65739168E-05   1.75735642E-05   0.00000000E+00   4.98856308E-05
      57   5.70000000E+01         3          15   8.15382124E-01   2.72313202E-05   4.94094852E-01      3358   6.43999310E-07   1.00149829E-14   5.99714610E-15   0.00000000E+00   8.34963521E-07   9.10281510E-01   9.31072640E-01   9.06164302E-01   0.00000000E+00   8.98664348E-01   1.57557628E-05   3.42886412E-05   1.60652484E-05   0.00000000E+00   4.50075197E-05
      58   5.80000000E+01         3          15   8.55183191E-01   2.61394505E-05   4.91063145E-01      3384   6.94657935E-07   1.10194140E-14   6.63095451E-15   0.00000000E+00   8.97886942E-07   9.56026846E-01   9.59913707E-01   9.62787072E-01   0.00000000E+00   9.45680100E-01   1.53538686E-05   3.29178049E-05   1.65657362E-05   0.00000000E+00   4.26920083E-05
      59   5.90000000E+01         3          16   8.85051878E-01   2.60846729E-05   4.88199586E-01      3393   5.95792756E-07   8.86197665E-15   5.69009096E-15   0.00000000E+00   7.59781161E-07   9.83716674E-01   9.74429726E-01   1.02252458E+00   0.00000000E+00   9.76634953E-01   1.54933296E-05   3.24090406E-05   1.82459346E-05   0.00000000E+00   4.21752000E-05
      60   6.00000000E+01         3          16   8.77927744E-01   2.61625145E-05   4.85264224E-01      3411   6.90489913E-07   9.79781873E-15   6.49072953E-15   0.00000000E+00   8.73574032E-07   9.79434926E-01   9.75093397E-01   1.00131241E+00   0.00000000E+00   9.70082039E-01   1.56087655E-05   3.21886688E-05   2.00667712E-05   0.00000000E+00   4.17129064E-05
      61   6.10000000E+01         3          16   8.77972131E-01   2.63597971E-05   4.82231296E-01      3428   7.50894494E-07   1.06272766E-14   6.98157937E-15   0.00000000E+00   9.46342789E-07   9.98471543E-01   9.78370371E-01   9.56938560E-01   0.00000000E+00   9.92113854E-01   1.58610688E-05   3.22825105E-05   2.05390574E-05   0.00000000E+00   4.19357562E-05
      62   6.20000000E+01         3          16   8.69269696E-01   2.65844771E-05   4.79166068E-01      3444   7.80576382E-07   1.12338039E-14   7.19618236E-15   0.00000000E+00   9.81060137E-07   9.92083442E-01   9.84387101E-01   9.19940903E-01   0.00000000E+00   9.89247309E-01   1.59924340E-05   3.30016891E-05   1.96553816E-05   0.00000000E+00   4.24554904E-05
      63   6.30000000E+01         3          17   8.62064552E-01   2.66454292E-05   4.76107131E-01      3457   6.15852676E-07   8.79231185E-15   5.60143496E-15   0.00000000E+00   7.71568773E-07   9.88586593E-01   9.86882887E-01   8.89421306E-01   0.00000000E+00   9.86643258E-01   1.60538692E-05   3.40115956E-05   1.77349791E-05   0.00000000E+00   4.26714149E-05
      64   6.40000000E+01         3          17   8.59554946E-01   2.66404201E-05   4.72963263E-01      3479   6.58206056E-07   9.35033334E-15   5.90477137E-15   0.00000000E+00   8.25106756E-07   9.91591229E-01   9.81124793E-01   8.83066309E-01   0.00000000E+00   9.84128239E-01   1.62438917E-05   3.47943968E-05   1.56158183E-05   0.00000000E+00   4.27807442E-05
      65   6.50000000E+01         3          17   8.68307012E-01   2.70500075E-05   4.69931586E-01      3496   7.17774349E-07   9.95652615E-15   6.36162012E-15   0.00000000E+00   9.00015051E-07   1.00029489E+00   9.80127653E-01   9.01777224E-01   0.00000000E+00   9.97668832E-01   1.66509362E-05   3.56349373E-05   1.38962313E-05   0.00000000E+00   4.37984799E-05
      66   6.60000000E+01         3          17   8.79508224E-01   2.79640050E-05   4.66985724E-01      3522   7.77567713E-07   1.05190233E-14   6.80958154E-15   0.00000000E+00   9.74136133E-07   9.90328628E-01   9.89778970E-01   9.49627508E-01   0.00000000E+00   1.00273026E+00   1.70804923E-05   3.69268101E-05   1.31831602E-05   0.00000000E+00   4.56157828E-05
      67   6.70000000E+01         3          18   8.95510545E-01   2.94478530E-05   4.64186255E-01      3551   6.26829079E-07   8.24534471E-15   5.39963660E-15   0.00000000E+00   7.84545159E-07   9.99044375E-01   9.94306016E-01   9.97824568E-01   0.00000000E+00   1.01356189E+00   1.77058877E-05   3.87781402E-05   1.34293104E-05   0.00000000E+00   4.83558810E-05
      68   6.80000000E+01         3          18   8.97445934E-01   3.09633758E-05   4.61428448E-01      3588   6.56804592E-07   8.59275918E-15   5.55471991E-15   0.00000000E+00   8.22663235E-07   1.00050771E+00   9.83937708E-01   1.02676928E+00   0.00000000E+00   1.00181923E+00   1.85207633E-05   4.03244588E-05   1.44739894E-05   0.00000000E+00   5.11378154E-05
      69   6.90000000E+01         3          18   8.89070049E-01   3.13350152E-05   4.58795692E-01      3613   7.51195787E-07   9.63022003E-15   6.24937723E-15   0.00000000E+00   9.34487157E-07   1.00162962E+00   9.55115608E-01   1.04115414E+00   0.00000000E+00   9.76072793E-01   1.92208615E-05   4.02915880E-05   1.60091950E-05   0.00000000E+00   5.15777859E-05
