# Kestrel CFD Turbulence Tracking File
# ------------------------------------------------------------------------------
# Job name = pykes
# Job description = 
# Number of dimensions in simulation = 2
# Body path = airfoil
# Mesh path:name = naca64A010.avm:naca64A010
# Output coordinate system = xByUzL
# Moment reference location (m) = 0.250000, 0.000000, 0.000000
# Reference area (m^2) = 1.000000                                         [AREA]
# Moment reference length about x-axis (m) = 1.000000                     [LENX]
# Moment reference length about y-axis (m) = 1.000000                     [LENY]
# Moment reference length about z-axis (m) = 1.000000                     [LENZ]
# Reference Mach = 0.800000                                               [MACH]
# Reference static pressure (N/m^2) = 101325.000000             [STATICPRESSURE]
# Reference dynamic pressure (N/m^2) = 45393.600000            [DYNAMICPRESSURE]
# Reference temperature (K) = 410.592770                           [TEMPERATURE]
# Reference angle of attack (deg) = 4.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITER"           "TIME"   "SWEEPSP"    "URES(total)"    "SRES(total)"   "MUTMAX/MUINF"   "MUTMAX/MUINF(x)"   "MUTMAX/MUINF(y)"   "MUTMAX/MUINF(z)"    "LRES(turb1)"    "LRES(turb2)"    "URES(turb1)"    "URES(turb2)"    "SRES(turb1)"    "SRES(turb2)"
      17   1.70000000E+01           9   1.46331996E+00   2.44619975E+03   5.36106221E-02      1.01521869E+00      3.89261876E-04      0.00000000E+00   5.73129876E-07   1.28597083E-07   1.00272375E+00   1.81029160E+00   3.94158533E-04   3.45944886E+03
      18   1.80000000E+01           9   8.70141502E-01   1.49781821E+03   5.79710403E-02      1.01521978E+00      4.33643225E-04      0.00000000E+00   6.76375250E-07   1.24763995E-07   9.97613723E-01   7.20457720E-01   9.65521894E-04   2.11823483E+03
      19   1.90000000E+01           9   1.62040994E+00   2.70814976E+03   6.11341246E-02      1.01912232E+00      5.75297713E-04      0.00000000E+00   7.11937910E-07   9.08680914E-08   1.00267185E+00   2.06060814E+00   3.97240188E-04   3.82990212E+03
      20   2.00000000E+01           9   8.58313941E-01   1.70219266E+03   6.53836563E-02      1.01912232E+00      5.75297713E-04      0.00000000E+00   7.70572246E-07   1.59752637E-07   9.97643051E-01   6.91457870E-01   9.58108269E-04   2.40726395E+03
      21   2.10000000E+01          10   9.00711829E-01   2.28360642E+03   7.05420319E-02      1.02364142E+00      7.59022520E-04      0.00000000E+00   4.79050582E-07   5.58078526E-08   1.00259239E+00   7.85730291E-01   4.00262914E-04   3.22950717E+03
      22   2.20000000E+01          10   1.66805767E+00   4.00867955E+03   7.57912599E-02      1.02887102E+00      8.98930222E-04      0.00000000E+00   4.80413932E-07   2.69284181E-08   9.97681543E-01   2.13763053E+00   9.50862031E-04   5.66912898E+03
      23   2.30000000E+01          10   8.73956124E-01   2.37608856E+03   8.18461766E-02      1.02887469E+00      9.96780646E-04      0.00000000E+00   4.81540838E-07   2.76273714E-08   1.00256771E+00   7.22811591E-01   4.03265877E-04   3.36029666E+03
      24   2.40000000E+01          10   8.44363747E-01   3.04432612E+03   8.93340841E-02      1.03493009E+00      1.17696106E-03      0.00000000E+00   4.33389059E-07   2.28397434E-08   9.97719521E-01   6.56091483E-01   9.43782507E-04   4.30532729E+03
      25   2.50000000E+01          10   1.22001320E+00   3.69258238E+03   9.75883417E-02      1.04194097E+00      1.38899671E-03      0.00000000E+00   7.92523299E-07   2.63440969E-08   1.00247677E+00   1.40424525E+00   4.06212286E-04   5.22210008E+03
      26   2.60000000E+01          10   9.44679673E-01   2.77495962E+03   1.06460801E-01      1.05005816E+00      1.63856617E-03      0.00000000E+00   5.27853469E-07   1.96310182E-08   9.97752415E-01   8.88442168E-01   9.36863254E-04   3.92438553E+03
      27   2.70000000E+01          10   8.79580251E-01   4.00522196E+03   1.17042702E-01      1.05005816E+00      1.63856617E-03      0.00000000E+00   6.33984220E-07   1.60247341E-08   1.00246314E+00   7.36471643E-01   4.09122963E-04   5.66423921E+03
      28   2.80000000E+01          10   9.88204852E-01   3.22848326E+03   1.28052373E-01      1.05945633E+00      1.93238127E-03      0.00000000E+00   7.68951677E-07   1.79272756E-08   9.97767813E-01   9.78548440E-01   9.30054233E-04   4.56576481E+03
      29   2.90000000E+01          10   9.09504524E-01   7.59827675E+03   1.39012716E-01      1.07033772E+00      2.27837885E-03      0.00000000E+00   6.23399464E-07   1.12201762E-08   1.00237883E+00   8.05998531E-01   4.12002144E-04   1.07455860E+04
      30   3.00000000E+01          10   8.80626732E-01   5.30410612E+03   1.51641560E-01      1.07033772E+00      2.27837885E-03      0.00000000E+00   5.04637209E-07   7.81349252E-09   9.97776663E-01   7.45284251E-01   9.23335629E-04   7.50113880E+03
      31   3.10000000E+01          10   8.73736640E-01   4.68109894E+03   1.66721059E-01      1.08293658E+00      2.68594882E-03      0.00000000E+00   6.53531342E-07   8.27531836E-09   1.00234444E+00   7.22590520E-01   4.14841394E-04   6.62007361E+03
      32   3.20000000E+01          10   1.19017647E+00   4.93766033E+03   1.83894901E-01      1.08293658E+00      2.68594882E-03      0.00000000E+00   5.18705398E-07   8.10493161E-09   9.97784209E-01   1.35553189E+00   9.16696752E-04   6.98290620E+03
      33   3.30000000E+01          10   9.56932229E-01   3.46484004E+03   2.04036379E-01      1.09752415E+00      3.16620533E-03      0.00000000E+00   6.18914813E-07   1.13333337E-08   1.00234964E+00   9.09249017E-01   4.17672230E-04   4.90002378E+03
      34   3.40000000E+01          10   9.11988956E-01   3.05970985E+03   2.26304273E-01      1.09752415E+00      3.16620533E-03      0.00000000E+00   4.64832893E-07   1.42607433E-08   9.97799719E-01   8.17216882E-01   9.10146954E-04   4.32708317E+03
      35   3.50000000E+01          10   8.84337707E-01   2.63583052E+03   2.52666379E-01      1.11441457E+00      3.73230937E-03      0.00000000E+00   5.80816037E-07   1.07769740E-08   1.00227176E+00   7.48035879E-01   4.20486143E-04   3.72762727E+03
      36   3.60000000E+01          10   8.88886494E-01   1.64910600E+03   2.81861243E-01      1.13397165E+00      4.39985277E-03      0.00000000E+00   5.20987840E-07   1.55734737E-08   9.97819723E-01   7.64587602E-01   9.03695245E-04   2.33218807E+03
      37   3.70000000E+01          10   1.20135026E+00   2.50215668E+03   3.16392975E-01      1.13397165E+00      4.39985277E-03      0.00000000E+00   6.33379278E-07   1.56234726E-08   1.00220872E+00   1.37188286E+00   4.23240137E-04   3.53858391E+03
      38   3.80000000E+01          10   1.21112326E+00   2.35278884E+03   3.67817393E-01      8.94333008E-01      2.69646793E-02      0.00000000E+00   5.11612251E-07   1.99457123E-08   9.97857192E-01   1.39209200E+00   8.97381050E-04   3.32734589E+03
      39   3.90000000E+01          10   1.12255337E+00   2.45969345E+03   4.76305098E-01      9.06246136E-01      2.57247641E-02      0.00000000E+00   5.97524399E-07   2.47215959E-08   1.00216759E+00   1.23122389E+00   4.25938862E-04   3.47853184E+03
      40   4.00000000E+01          10   9.42858040E-01   1.88096884E+03   6.19341226E-01      9.11853411E-01      2.51469915E-02      0.00000000E+00   5.58464704E-07   2.55424925E-08   9.97889939E-01   8.84408409E-01   8.91205660E-04   2.66009165E+03
      41   4.10000000E+01          10   8.65488303E-01   3.20525190E+03   8.09800327E-01      9.17235502E-01      2.45911727E-02      0.00000000E+00   6.10227921E-07   2.46567169E-08   1.00212869E+00   7.02764615E-01   4.28597998E-04   4.53291071E+03
      42   4.20000000E+01          10   3.51932505E+00   1.45963801E+04   1.06315615E+00      9.17235502E-01      2.45911727E-02      0.00000000E+00   5.74561099E-07   2.25574285E-08   9.97974107E-01   4.87599686E+00   8.85209770E-04   2.06423987E+04
      43   4.30000000E+01          10   8.94515789E-01   8.92478382E+03   1.40721940E+00      8.94349456E-01      2.50292448E-02      0.00000000E+00   6.30420889E-07   1.92348035E-08   1.00208358E+00   7.72104589E-01   4.31216310E-04   1.26215503E+04
      44   4.40000000E+01          10   8.56193442E-01   5.80592066E+03   1.87313361E+00      9.00420252E-01      2.43915414E-02      0.00000000E+00   6.09376780E-07   1.56073868E-08   9.97944618E-01   6.85741175E-01   8.79230973E-04   8.21081173E+03
      45   4.50000000E+01          10   1.58086893E+00   9.68724072E+03   2.50302669E+00      9.00420252E-01      2.43915414E-02      0.00000000E+00   6.19658223E-07   1.09259748E-08   1.00207613E+00   1.99853361E+00   4.33824810E-04   1.36998272E+04
      46   4.60000000E+01          10   8.94751719E-01   6.08008772E+03   3.35561227E+00      9.06254891E-01      2.37891081E-02      0.00000000E+00   6.32000155E-07   7.90000832E-09   9.97962580E-01   7.77966558E-01   8.73396669E-04   8.59854251E+03
      47   4.70000000E+01          10   8.65868583E-01   3.53634366E+03   4.48666880E+00      9.11858409E-01      2.32112601E-02      0.00000000E+00   6.27663999E-07   6.30186550E-09   1.00203950E+00   7.03827859E-01   4.36411831E-04   5.00114517E+03
      48   4.80000000E+01          10   1.05475273E+00   3.26136957E+03   5.96708912E+00      9.11858409E-01      2.32112601E-02      0.00000000E+00   6.52960253E-07   6.67925998E-09   9.97976582E-01   1.10862500E+00   8.67644795E-04   4.61227308E+03
      49   4.90000000E+01          10   8.23319708E-01   1.73709989E+03   7.91262111E+00      9.17236801E-01      2.26553754E-02      0.00000000E+00   6.11793067E-07   6.52684045E-09   1.00199588E+00   5.93055590E-01   4.38952326E-04   2.45663022E+03
      50   5.00000000E+01          10   8.39471014E-01   1.44900867E+03   1.05035136E+01      9.17236801E-01      2.26553754E-02      0.00000000E+00   6.25247748E-07   6.91028677E-09   9.97987099E-01   6.42996824E-01   8.61964598E-04   2.04920771E+03
      51   5.10000000E+01          10   1.00048981E+00   1.15118951E+03   1.42444535E+01      9.11858409E-01      2.32112601E-02      0.00000000E+00   6.33315486E-07   7.87057074E-09   1.00194634E+00   9.99031158E-01   4.41469592E-04   1.62802782E+03
      52   5.20000000E+01          10   9.32048849E-01   1.04569944E+03   1.94701309E+01      9.11858409E-01      2.32112601E-02      0.00000000E+00   6.86937802E-07   1.05566107E-08   9.97995160E-01   8.61066648E-01   8.56348260E-04   1.47884234E+03
      53   5.30000000E+01          10   1.00593833E+00   9.69373594E+02   2.65378530E+01      9.11858409E-01      2.32112601E-02      0.00000000E+00   6.85999612E-07   1.46025042E-08   1.00192026E+00   1.00994042E+00   4.43955753E-04   1.37090128E+03
      54   5.40000000E+01          10   9.29826095E-01   6.81403726E+02   3.55588196E+01      9.17236801E-01      2.26553754E-02      0.00000000E+00   7.13760605E-07   1.51671040E-08   9.98011546E-01   8.56227825E-01   8.50806336E-04   9.63650391E+02
      55   5.50000000E+01          10   1.08085906E+00   7.60264523E+02   4.68801462E+01      9.17236801E-01      2.26553754E-02      0.00000000E+00   7.45652167E-07   9.83936602E-09   1.00190542E+00   1.15442547E+00   4.46427448E-04   1.07517640E+03
      56   5.60000000E+01          10   9.78080034E-01   6.64889198E+02   6.23325792E+01      9.06254891E-01      2.37891081E-02      0.00000000E+00   6.10572606E-07   9.20814324E-09   9.98025309E-01   9.57719472E-01   8.45340979E-04   9.40295321E+02
      57   5.70000000E+01          10   1.63798446E+00   1.46633333E+03   8.41814578E+01      9.00407680E-01      2.63270958E-02      0.00000000E+00   5.73318011E-07   1.55078738E-08   1.00184906E+00   2.08860829E+00   4.48873001E-04   2.07370849E+03
      58   5.80000000E+01          10   8.81726776E-01   9.33500488E+02   1.20859353E+02      8.94333008E-01      2.69646793E-02      0.00000000E+00   5.21394830E-07   2.05355743E-08   9.98036925E-01   7.47533618E-01   8.39948671E-04   1.32016905E+03
      59   5.90000000E+01          10   9.52914579E-01   7.34579625E+02   1.67965826E+02      8.94333008E-01      2.69646793E-02      0.00000000E+00   5.23778139E-07   2.15267963E-08   1.00184506E+00   9.01331713E-01   4.51304596E-04   1.03885247E+03
      60   6.00000000E+01          10   9.31941390E-01   6.09949779E+02   2.25083455E+02      8.94333008E-01      2.69646793E-02      0.00000000E+00   5.56211426E-07   2.05718654E-08   9.98045152E-01   8.60776034E-01   8.34613665E-04   8.62599249E+02
      61   6.10000000E+01          10   1.01282978E+00   5.78985539E+02   2.85083455E+02      8.94333008E-01      2.69646793E-02      0.00000000E+00   5.20041616E-07   1.80518666E-08   1.00180843E+00   1.02373248E+00   4.53707705E-04   8.18809202E+02
      62   6.20000000E+01          10   9.70091115E-01   4.98380089E+02   3.44535296E+02      9.00407680E-01      2.63270958E-02      0.00000000E+00   6.47426307E-07   1.37518186E-08   9.98055358E-01   9.41296471E-01   8.29341389E-04   7.04815881E+02
      63   6.30000000E+01          10   9.73842692E-01   5.14499406E+02   3.89561700E+02      8.60195855E-01      3.04895593E-02      0.00000000E+00   5.98749851E-07   1.30871803E-08   1.00177587E+00   9.45084276E-01   4.56072744E-04   7.27612038E+02
      64   6.40000000E+01          10   2.59153887E+00   2.07909493E+03   4.38848534E+02      9.00393201E-01      2.85338441E-02      0.00000000E+00   7.46222414E-07   7.02125531E-09   9.98064065E-01   3.52647353E+00   8.24125954E-04   2.94028424E+03
      65   6.50000000E+01          10   8.54143205E-01   1.13269325E+03   4.98848534E+02      9.00393201E-01      2.85338441E-02      0.00000000E+00   9.04280068E-07   5.43461677E-09   1.00175794E+00   6.74983155E-01   4.58386130E-04   1.60187015E+03
      66   6.60000000E+01          11   9.12625271E-01   8.30461342E+02   5.57988019E+02      8.94314110E-01      2.91712905E-02      0.00000000E+00   3.78224702E-07   1.74380645E-09   9.98082244E-01   8.18291883E-01   8.18977689E-04   1.17444969E+03
      67   6.70000000E+01          11   9.35889956E-01   6.42356929E+02   6.06307418E+02      8.81420226E-01      3.05220311E-02      0.00000000E+00   6.16751199E-07   1.70909241E-09   1.00172129E+00   8.65063285E-01   4.60664591E-04   9.08429881E+02
      68   6.80000000E+01          11   8.23331716E-01   9.69822845E+02   6.57578249E+02      8.67505752E-01      3.19477683E-02      0.00000000E+00   4.67064670E-07   1.35674473E-09   9.98081224E-01   5.99653316E-01   8.13873933E-04   1.37153662E+03
      69   6.90000000E+01          11   8.88407827E-01   5.75117050E+02   7.08453865E+02      8.60153794E-01      3.26954565E-02      0.00000000E+00   7.74613978E-07   1.48917351E-09   1.00168656E+00   7.58393674E-01   4.62937295E-04   8.13338332E+02
      70   7.00000000E+01          11   1.07338348E+00   5.68724991E+02   7.59167732E+02      8.52533127E-01      3.34706409E-02      0.00000000E+00   6.47977248E-07   2.29140139E-09   9.98091981E-01   1.14372924E+00   8.08829099E-04   8.04298596E+02
      71   7.10000000E+01          11   9.60698928E-01   4.71653538E+02   8.09566515E+02      8.44640151E-01      3.42768889E-02      0.00000000E+00   7.62139294E-07   3.05878110E-09   1.00166901E+00   9.17901990E-01   4.65194691E-04   6.67018830E+02
      72   7.20000000E+01          11   9.70948876E-01   4.28186107E+02   8.69566515E+02      8.44640151E-01      3.42768889E-02      0.00000000E+00   9.44180985E-07   4.04739120E-09   9.98103204E-01   9.43012955E-01   8.03843146E-04   6.05546599E+02
      73   7.30000000E+01          11   1.02797177E+00   4.68394458E+02   9.20654715E+02      8.44640151E-01      3.42768889E-02      0.00000000E+00   6.83573152E-07   3.85676726E-09   1.00163891E+00   1.05364673E+00   4.67414603E-04   6.62409794E+02
      74   7.40000000E+01          11   9.63550855E-01   4.10541701E+02   9.47401554E+02      8.94292330E-01      3.16870772E-02      0.00000000E+00   7.40461413E-07   3.85233447E-09   9.98112968E-01   9.27702003E-01   7.98916948E-04   5.80593642E+02
      75   7.50000000E+01          11   1.05218011E+00   4.61158496E+02   1.00740155E+03      8.94292330E-01      3.16870772E-02      0.00000000E+00   7.83182168E-07   4.07620770E-09   1.00159091E+00   1.10044609E+00   4.69609351E-04   6.52176600E+02
      76   7.60000000E+01          11   9.67631854E-01   4.58866832E+02   1.06740155E+03      8.94292330E-01      3.16870772E-02      0.00000000E+00   7.64541324E-07   4.37474743E-09   9.98125923E-01   9.36144994E-01   7.94050936E-04   6.48935698E+02
      77   7.70000000E+01          11   9.23067039E-01   4.34285902E+02   1.12740155E+03      8.94292330E-01      3.16870772E-02      0.00000000E+00   8.80760692E-07   4.96594594E-09   1.00159366E+00   8.37207064E-01   4.71782408E-04   6.14173012E+02
      78   7.80000000E+01          12   1.02421979E+00   4.32423746E+02   1.18457401E+03      9.00376456E-01      3.10497871E-02      0.00000000E+00   5.71893319E-07   1.90584074E-09   9.98135970E-01   1.04965562E+00   7.89239709E-04   6.11539527E+02
      79   7.90000000E+01          11   9.73152578E-01   4.02881398E+02   1.20678445E+03      9.06224220E-01      3.04477038E-02      0.00000000E+00   8.73330238E-07   7.22303562E-09   1.00155415E+00   9.43896794E-01   4.73924903E-04   5.69760337E+02
      80   8.00000000E+01          12   1.01755013E+00   4.32418558E+02   1.23523824E+03      9.06224220E-01      3.04477038E-02      0.00000000E+00   7.64303823E-07   3.05603567E-09   9.98145948E-01   1.03659115E+00   7.84487354E-04   6.11532189E+02
      81   8.10000000E+01          12   9.51380261E-01   4.17230261E+02   1.28558141E+03      9.11840658E-01      2.98701158E-02      0.00000000E+00   6.00664914E-07   4.40988439E-09   1.00155612E+00   8.98406443E-01   4.76068843E-04   5.90052693E+02
      82   8.20000000E+01          12   8.84469590E-01   4.16309284E+02   1.34531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   4.05902285E-07   4.73497642E-09   9.98162087E-01   7.53820509E-01   7.79789751E-04   5.88750236E+02
      83   8.30000000E+01          11   1.02436563E+00   4.09818609E+02   1.40531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   7.41405106E-07   9.62501512E-09   1.00152397E+00   1.04670894E+00   4.78170676E-04   5.79571036E+02
      84   8.40000000E+01          11   1.17727648E+00   5.18137542E+02   1.46531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   4.99672065E-07   8.02242458E-09   9.98169090E-01   1.33252328E+00   7.75146103E-04   7.32757139E+02
      85   8.50000000E+01          11   9.41802171E-01   4.20713346E+02   1.52531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   3.18938546E-07   8.04361945E-09   1.00151891E+00   8.78033336E-01   4.80268648E-04   5.94978520E+02
      86   8.60000000E+01          10   1.21791533E+00   6.76534217E+02   1.58531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   7.43605729E-07   2.78440608E-08   9.98173445E-01   1.40366850E+00   7.70545947E-04   9.56763866E+02
      87   8.70000000E+01          10   9.79892869E-01   5.47006143E+02   1.64531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   9.94261268E-07   2.65969135E-08   1.00149113E+00   9.57807702E-01   4.82365402E-04   7.73583506E+02
      88   8.80000000E+01          11   9.07163889E-01   4.45231151E+02   1.70531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   4.51787160E-07   1.38352735E-08   9.98181168E-01   8.05932379E-01   7.65992874E-04   6.29651932E+02
      89   8.90000000E+01          11   1.07576216E+00   5.60235414E+02   1.76531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   6.30826698E-07   2.45310773E-08   1.00148481E+00   1.14523213E+00   4.84449927E-04   7.92292521E+02
      90   9.00000000E+01          11   8.97653692E-01   4.52955803E+02   1.82531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   9.42486096E-07   3.07993544E-08   9.98190204E-01   7.84334507E-01   7.61486598E-04   6.40576240E+02
      91   9.10000000E+01          12   9.63914067E-01   4.19254136E+02   1.88531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   6.94761770E-07   1.71296482E-08   1.00145594E+00   9.24849530E-01   4.86502903E-04   5.92914886E+02
      92   9.20000000E+01          12   1.15073168E+00   5.36575649E+02   1.94531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   9.88202808E-07   4.34152914E-08   9.98196284E-01   1.28529023E+00   7.57025519E-04   7.58832560E+02
      93   9.30000000E+01          14   9.97070004E-01   5.39348753E+02   2.00531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   6.46460478E-07   2.61688888E-08   1.00146392E+00   9.92656642E-01   4.88541273E-04   7.62754321E+02
      94   9.40000000E+01          16   9.18561066E-01   4.06686085E+02   2.06531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   9.05442982E-07   1.19571444E-08   9.98203197E-01   8.31323788E-01   7.52609229E-04   5.75140977E+02
      95   9.50000000E+01          20   1.03674301E+00   6.12759573E+02   2.12531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   6.66580547E-07   1.12847944E-08   1.00143458E+00   1.07088791E+00   4.90585990E-04   8.66572899E+02
      96   9.60000000E+01          23   1.22240577E+00   7.47566216E+02   2.18531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   8.23704294E-07   3.81868988E-08   9.98208879E-01   1.41142862E+00   7.48231241E-04   1.05721828E+03
      97   9.70000000E+01          28   1.03978920E+00   6.68770675E+02   2.24531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   8.47571321E-07   1.81055105E-08   1.00143658E+00   1.07677664E+00   4.92635449E-04   9.45784559E+02
      98   9.80000000E+01          32   9.28825347E-01   4.57309961E+02   2.30531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   8.54335360E-07   2.01185468E-07   9.98217816E-01   8.53811596E-01   7.43896205E-04   6.46733948E+02
      99   9.90000000E+01          32   9.77057179E-01   7.22700529E+02   2.36531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   2.72275095E-06   5.91252777E-07   1.00142050E+00   9.52070608E-01   4.94668866E-04   1.02205289E+03
     100   1.00000000E+02          32   1.04599502E+00   6.52701450E+02   2.42531405E+03      8.74512853E-01      3.66072237E-02      0.00000000E+00   6.48869136E-06   1.06068192E-06   9.98224636E-01   1.09167703E+00   7.39603252E-04   9.23059243E+02
