# Kestrel CFD Turbulence Tracking File
# ------------------------------------------------------------------------------
# Job name = pykes
# Job description = 
# Number of dimensions in simulation = 2
# Body path = airfoil
# Mesh path:name = naca64A010.avm:naca64A010
# Output coordinate system = xByUzL
# Moment reference location (m) = 0.250000, 0.000000, 0.000000
# Reference area (m^2) = 1.000000                                         [AREA]
# Moment reference length about x-axis (m) = 1.000000                     [LENX]
# Moment reference length about y-axis (m) = 1.000000                     [LENY]
# Moment reference length about z-axis (m) = 1.000000                     [LENZ]
# Reference Mach = 0.800000                                               [MACH]
# Reference static pressure (N/m^2) = 101325.000000             [STATICPRESSURE]
# Reference dynamic pressure (N/m^2) = 45393.600000            [DYNAMICPRESSURE]
# Reference temperature (K) = 410.592770                           [TEMPERATURE]
# Reference angle of attack (deg) = 4.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITER"           "TIME"   "SWEEPSP"    "URES(total)"    "SRES(total)"   "MUTMAX/MUINF"   "MUTMAX/MUINF(x)"   "MUTMAX/MUINF(y)"   "MUTMAX/MUINF(z)"    "LRES(turb1)"    "LRES(turb2)"    "URES(turb1)"    "URES(turb2)"    "SRES(turb1)"    "SRES(turb2)"
 ZONE T="pykes"
       1   1.00000000E+00          11   3.66075826E+02   1.11524622E+00   6.76331816E-02      1.45288740E-03      4.45110587E-03      0.00000000E+00   6.65302748E-07   3.31304622E-07   5.17708659E+02   8.74346148E-01   1.62537015E-06   1.57719634E+00
       2   2.00000000E+00          10   1.08479614E+00   8.99439258E-01   5.44192993E-02      1.05941460E-02     -1.13490793E-02      0.00000000E+00   8.78200614E-07   7.31062969E-07   9.97260967E-01   1.16577695E+00   1.03153037E-03   1.27199878E+00
       3   3.00000000E+00          10   1.46164922E+00   2.38244787E+00   3.55481154E-02      9.21651727E-03     -1.06633425E-02      0.00000000E+00   3.33478823E-07   1.37252528E-07   1.00324153E+00   1.80730278E+00   3.71177189E-04   3.36929006E+00
       4   4.00000000E+00           8   1.36154592E+00   4.97219944E+00   3.46226410E-02      9.97728380E-01      3.28113467E-04      0.00000000E+00   9.17735893E-07   4.71339013E-07   9.97308910E-01   1.64711552E+00   1.02246274E-03   7.03175180E+00
       5   5.00000000E+00          10   1.48840918E+00   1.22987051E+01   3.62248556E-02      9.97727961E-01      3.17783823E-04      0.00000000E+00   3.04444806E-07   3.67166062E-09   1.00312568E+00   1.85053037E+00   3.74611113E-04   1.73929956E+01
       6   6.00000000E+00           9   1.40227466E+00   2.82671140E+01   3.90705015E-02      9.97727593E-01      3.08692470E-04      0.00000000E+00   2.88771925E-07   1.86814413E-08   9.97359747E-01   1.71406592E+00   1.01365232E-03   3.99757360E+01
       7   7.00000000E+00           9   1.29581214E+00   5.46868664E+01   3.74872800E-02      9.96120422E-01      4.82531101E-04      0.00000000E+00   5.93460409E-07   2.91560457E-08   1.00307250E+00   1.53365700E+00   3.77983504E-04   7.73389081E+01
       8   8.00000000E+00           8   1.40063921E+00   1.13657162E+02   3.89667095E-02      9.96119830E-01      4.67455563E-04      0.00000000E+00   9.91446826E-07   1.82645184E-07   9.97416201E-01   1.71135656E+00   1.00508841E-03   1.60735501E+02
       9   9.00000000E+00           9   1.13225868E+00   1.49808164E+02   4.03959375E-02      9.94431208E-01      6.50246913E-04      0.00000000E+00   3.75518671E-07   7.04091524E-08   1.00301151E+00   1.24819363E+00   3.81321526E-04   2.11860738E+02
      10   1.00000000E+01           9   1.13090917E+00   2.35233705E+02   4.27049280E-02      9.97726729E-01      2.87373595E-04      0.00000000E+00   2.93134669E-07   9.18276161E-08   9.97473879E-01   1.25018278E+00   9.96793098E-04   3.32670696E+02
      11   1.10000000E+01           9   1.03868401E+00   2.85280558E+02   4.19550692E-02      9.97726982E-01      2.93617136E-04      0.00000000E+00   2.65931934E-07   1.09708310E-07   1.00293906E+00   1.07323910E+00   3.84607651E-04   4.03447635E+02
      12   1.20000000E+01           9   1.05482444E+00   3.84269111E+02   3.99507966E-02      9.92657279E-01      8.42393332E-04      0.00000000E+00   3.13929828E-07   1.04439128E-07   9.97510929E-01   1.10918040E+00   9.88700373E-04   5.43438588E+02
      13   1.30000000E+01           9   1.04803304E+00   4.88677022E+02   3.75699400E-02      9.88837415E-01      1.25645488E-03      0.00000000E+00   2.93031408E-07   1.00481771E-07   1.00286084E+00   1.09133709E+00   3.87836468E-04   6.91093672E+02
      14   1.40000000E+01           9   1.05277476E+00   6.04889033E+02   4.03835836E-02      1.00893888E+00      2.41287393E-04      0.00000000E+00   2.96149076E-07   9.30599341E-08   9.97552539E-01   1.10524129E+00   9.80800340E-04   8.55442274E+02
      15   1.50000000E+01           9   1.02919609E+00   6.89735722E+02   4.49975493E-02      1.01184889E+00      2.90794429E-04      0.00000000E+00   2.90285910E-07   1.30389013E-07   1.00280472E+00   1.05492743E+00   3.91028059E-04   9.75433613E+02
      16   1.60000000E+01           9   1.52749601E+00   1.64701493E+03   4.93653625E-02      1.01184889E+00      2.90794429E-04      0.00000000E+00   8.91799222E-07   1.41946610E-07   9.97587300E-01   1.91606569E+00   9.73084502E-04   2.32923085E+03
