# Database statistics for 'body' extracted on 2017-03-21 20:52:58 
#
#mach,alpha,config,Label,CA,CY,CN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,nOrders,nIter,nStats
0.5,0,poweroff,,0.00110591009901,-9.21800960396e-05,0.00089284329703,0.00110486,0.00110607,2.73443371333e-07,8.35089667326e-08,-9.24715e-05,-9.1627e-05,2.03873089975e-07,6.30315256624e-08,0.000889365,0.000893869,1.13747740306e-06,3.52884542923e-07,5.02382008426,200,100
0.5,1,poweroff,,0.00109302178218,1.12065376238e-05,0.0531289108911,0.00109194,0.00109318,2.83525876863e-07,8.66812528979e-08,1.0941e-05,1.30487e-05,4.68593125217e-07,1.41838980049e-07,0.053118,0.0531319,3.72348450107e-06,1.15722649828e-06,4.73285424021,200,100
0.5,2,poweroff,,0.0010805419802,3.58946792079e-07,0.104561108911,0.00107942,0.00108071,2.96247220155e-07,9.06186711686e-08,2.29556e-07,5.11518e-07,9.99280906221e-08,3.0758514297e-08,0.104558,0.104562,9.42936114917e-07,2.84587594618e-07,5.05536930014,200,100
0.5,5,poweroff,,0.00103982306931,0.000118154049505,0.256166287129,0.00103862,0.00104,3.18137346808e-07,9.73315300027e-08,0.000115812,0.000118838,7.7842162436e-07,2.41545429977e-07,0.256157,0.256167,1.92089414855e-06,5.56829781832e-07,5.05257042607,200,100
0.5,10,poweroff,,0.000967883574257,0.000780866217822,0.509924346535,0.000966839,0.000968047,2.80677304812e-07,8.60307408217e-08,0.000779413,0.000781983,7.43140081194e-07,2.30383849411e-07,0.5099,0.509927,5.70119953258e-06,1.71000550054e-06,4.91909850382,200,100
0.8,0,poweroff,,0.000832361811881,0.000238755178218,-0.00504449485149,0.000831082,0.000832566,3.57378677409e-07,1.10003704753e-07,0.000233985,0.000239867,1.84466819789e-06,5.75267705706e-07,-0.00508468,-0.00503755,1.24552988139e-05,3.84695387287e-06,4.46623257841,200,100
0.8,1,poweroff,,0.000812994633663,0.000405301475248,0.0473976356436,0.000812009,0.000813157,2.7765006549e-07,8.54884642209e-08,0.000398605,0.000406354,1.92383915671e-06,5.93744824586e-07,0.0473675,0.0474034,9.09523413617e-06,2.80404439168e-06,4.49074841418,200,100
0.8,2,poweroff,,0.000793422207921,0.00046685850495,0.0996224613861,0.000792792,0.000793522,1.77370358002e-07,5.45770652335e-08,0.000459593,0.000470159,3.22591731869e-06,1.00365552096e-06,0.0996208,0.0996263,1.31344685202e-06,3.93162979836e-07,4.50369309022,200,100
0.8,5,poweroff,,0.000744920574257,0.000629166455446,0.254340405941,0.000744833,0.000745753,1.80985385687e-07,5.38403736213e-08,0.000628405,0.000632319,8.38842915052e-07,2.52687716009e-07,0.254336,0.254395,1.00986992769e-05,2.81281367888e-06,4.66748131394,200,100
0.8,10,poweroff,,0.000714463415842,0.00114383613861,0.510812425743,0.000714136,0.000717003,6.29310706797e-07,1.9106698035e-07,0.0011407,0.00114991,2.4593052107e-06,7.18923345864e-07,0.510729,0.510822,2.01800541338e-05,6.10469791501e-06,4.45552863175,200,100
0.95,0,poweroff,,0.00237790950495,0.000158412792079,0.00110357704059,0.0023234,0.00238736,1.57269667111e-05,4.82363575337e-06,0.000118022,0.000243723,3.14862441992e-05,9.32852648385e-06,-0.000557379,0.00187901,0.000538471168193,0.000162383385689,2.55024958102,200,100
0.95,1,poweroff,,0.00236224920792,5.12019663366e-05,0.0728476544554,0.00230808,0.00236975,1.42597270386e-05,4.32251077523e-06,2.90495e-05,0.000226034,3.52649527e-05,9.49972618345e-06,0.0659474,0.0737875,0.00157463904388,0.000469440695415,2.57594068222,200,100
0.95,2,poweroff,,0.00234942930693,-2.40891130693e-06,0.139513554455,0.00228931,0.00235831,1.62701679422e-05,4.94279193011e-06,-2.58103e-05,0.000156171,3.88951975443e-05,1.1673231195e-05,0.129468,0.140329,0.00205408331064,0.00059991641464,2.53807418576,200,100
0.95,5,poweroff,,0.00229491455446,0.000102020085149,0.33272160396,0.00223686,0.00230133,1.33467626901e-05,3.97932398906e-06,5.99881e-05,0.000255131,5.18724199819e-05,1.60290146637e-05,0.327863,0.333195,0.000982496548042,0.000286465379191,2.75039962021,200,100
0.95,10,poweroff,,0.00213521069307,0.00036373870297,0.648000277228,0.002105,0.00213847,6.7469525585e-06,2.01637622928e-06,0.000340927,0.000374279,5.14952883271e-06,1.28948815814e-06,0.647025,0.648091,0.000245183710425,7.29550058001e-05,3.07000693574,200,100
1.1,0,poweroff,,0.00224201742574,0.000340949960396,-0.00527363732673,0.00222863,0.00224331,2.68409789166e-06,7.83373666892e-07,0.000335804,0.000356452,5.4045817653e-06,1.584405826e-06,-0.00530059,-0.00501026,5.94110314437e-05,1.7559947629e-05,3.35837569189,200,100
1.1,1,poweroff,,0.00223526247525,0.000449829950495,0.0452464693069,0.00221479,0.00223669,3.51660119606e-06,9.46754809498e-07,0.000440968,0.000460122,2.99142637383e-06,6.55433111653e-07,0.0448789,0.0453376,5.66357490269e-05,1.04180854553e-05,3.31609356028,200,100
1.1,2,poweroff,,0.00222679178218,0.000457802930693,0.0966400336634,0.00219706,0.00222884,5.29169111378e-06,1.44115494148e-06,0.00045408,0.000461056,1.25223948503e-06,2.406460971e-07,0.0956047,0.096695,0.000169396854494,4.33277598905e-05,3.33592485595,200,100
1.1,5,poweroff,,0.00218062356436,0.000340220693069,0.261094168317,0.00212937,0.00218502,1.08276330193e-05,3.15478540545e-06,0.000266786,0.000358924,2.22190291795e-05,6.68700553545e-06,0.259009,0.261262,0.000398699322657,0.00011323901892,3.20282704884,200,100
