# Database statistics for 'body' extracted on 2017-03-21 20:52:58 
#
#mach,alpha,config,Label,CA,CY,CN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,nOrders,nIter,nStats
1.1,10,poweroff,,0.00210758039604,0.000258883356436,0.582672188119,0.00202317,0.00211474,1.63551839313e-05,4.68391385763e-06,0.000202851,0.00082613,0.000119268995464,3.24176862e-05,0.58021,0.582831,0.000379155437518,9.48980917189e-05,2.63066130321,200,100
1.4,0,poweroff,,0.000893706376238,-0.000124461079208,0.00606902732673,0.000893346,0.000897809,8.82421138893e-07,2.60575753148e-07,-0.00014981,-6.82955e-05,9.35430073935e-06,8.27031971295e-07,0.00604572,0.006096,6.62042442645e-06,1.42134117566e-06,4.39158486641,200,100
1.4,1,poweroff,,0.000903153623762,7.12782009901e-05,0.0494434287129,0.000901883,0.000913614,2.75977089324e-06,8.41941693973e-07,1.738e-05,8.24954e-05,1.96571119915e-05,6.05116378105e-06,0.0493647,0.0494847,2.41633973114e-05,7.03340034379e-06,4.35147036728,200,100
1.4,2,poweroff,,0.000925061138614,-1.34146336634e-05,0.095042329703,0.000924611,0.000929978,1.04738432363e-06,3.08710087716e-07,-1.89949e-05,-1.12959e-05,1.91967467553e-06,5.93475912864e-07,0.0950406,0.0950591,2.9744970306e-06,8.16549671689e-07,4.74427503575,200,100
1.4,5,poweroff,,0.000954534475248,0.00014979429703,0.243756237624,0.000953593,0.000961073,1.6330842326e-06,4.96271004583e-07,0.000103971,0.000200468,1.51073037425e-05,3.24800550341e-06,0.243738,0.243817,1.33105693988e-05,3.35259468011e-06,4.40083017564,200,100
1.4,10,poweroff,,0.00103657128713,-0.000424125514851,0.504293534653,0.00103593,0.00104268,1.38258307782e-06,4.13044121777e-07,-0.000445632,-0.000421866,4.94084394445e-06,1.46687907842e-06,0.504197,0.504305,2.34763687193e-05,7.08190834046e-06,4.57671812851,200,100
2.2,0,poweroff,,0.000265490217822,-0.000166691260495,0.0010659440495,0.000115395,0.000277421,1.53872288318e-05,1.52348027139e-06,-0.000385524,4.19215e-05,5.25254647625e-05,9.83532361355e-06,-0.00222148,0.00309219,0.000539166318841,7.07906799489e-05,1.48417412444,200,100
2.2,1,poweroff,,0.00025961749505,-0.000195228239604,0.0395128108911,0.00011592,0.000273892,1.48930216336e-05,1.36099428509e-06,-0.000370231,4.17816e-05,5.3218127851e-05,8.8203085521e-06,0.0385427,0.0653024,0.00294239126629,0.000513748138084,1.48520385066,200,100
2.2,2,poweroff,,0.000253573633663,-9.15220178218e-05,0.077853250495,0.00011572,0.000269806,1.44657821634e-05,1.20308372924e-06,-0.000329051,4.47231e-05,7.80033541212e-05,1.98949877026e-05,0.0763024,0.12809,0.00587283615711,0.000983845531743,1.4896167552,200,100
2.2,5,poweroff,,0.00022697160396,-0.000182684929703,0.201394009901,0.000110973,0.000256274,1.35641210129e-05,5.80453369316e-07,-0.00025613,5.29691e-05,4.13602188303e-05,4.44941351868e-06,0.197207,0.320793,0.014090247811,0.00200043154515,1.49920172471,200,100
2.2,10,poweroff,,0.000174165945545,-7.33178019802e-06,0.453689455446,9.18585e-05,0.000217095,1.32796353381e-05,1.77658988307e-06,-0.000117089,7.55481e-05,2.49124752695e-05,2.27940787535e-06,0.447826,0.669355,0.0253113929467,0.00345953089386,1.51449441513,200,100
