# Database statistics for 'cap' extracted on 2017-03-21 20:52:58 
#
#mach,alpha,config,Label,CA,CY,CN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,nOrders,nIter,nStats
0.5,0,poweroff,,0.170450534653,-9.44731306931e-05,0.00659785742574,0.17045,0.170453,7.90592664463e-07,2.40955194882e-07,-9.44838e-05,-9.44597e-05,6.94832044061e-09,2.09459429187e-09,0.00659732,0.00659793,1.01665861803e-07,2.80643708444e-08,5.02382008426,200,100
0.5,1,poweroff,,0.170078277228,-7.06298108911e-05,0.0344210227723,0.170078,0.170081,6.4667943734e-07,1.89736659612e-07,-7.09564e-05,-7.0585e-05,7.10351466501e-08,2.05563617408e-08,0.0344202,0.0344212,1.46835388483e-07,3.90493467956e-08,4.73285424021,200,100
0.5,2,poweroff,,0.169074306931,-9.4791739604e-05,0.0623798920792,0.169074,0.169077,6.71079730806e-07,2.0022264835e-07,-9.4902e-05,-9.47639e-05,2.83988567585e-08,8.66566706853e-09,0.0623791,0.06238,1.57758537335e-07,4.42718872425e-08,5.05536930014,200,100
0.5,5,poweroff,,0.162376306931,-5.86018277228e-05,0.145437594059,0.162376,0.162379,6.99965688798e-07,2.09879739254e-07,-5.87347e-05,-5.85833e-05,3.32509781552e-08,1.0089318835e-08,0.145436,0.145438,5.99970590398e-07,1.76011925788e-07,5.05257042607,200,100
0.5,10,poweroff,,0.13884629703,-3.70416267327e-05,0.280517782178,0.138846,0.138849,6.97159078903e-07,2.06814596262e-07,-3.73784e-05,-3.69235e-05,1.21257603123e-07,3.77375067203e-08,0.280515,0.280518,5.55868073168e-07,1.55302324122e-07,4.91909850382,200,100
0.8,0,poweroff,,0.201851594059,-0.000257716910891,0.00683908,0.201834,0.202,3.52594845657e-05,1.06218814876e-05,-0.000258122,-0.0002559,6.72841750906e-07,2.08109338741e-07,0.00683387,0.0068643,8.64630396628e-06,2.68524389603e-06,4.46623257841,200,100
0.8,1,poweroff,,0.201554514851,-0.000284287168317,0.0341545940594,0.201538,0.201694,3.30914166914e-05,9.96962515557e-06,-0.000284858,-0.000281472,9.11376655019e-07,2.83226854533e-07,0.0341476,0.034157,1.53001791112e-06,4.23513825508e-07,4.49074841418,200,100
0.8,2,poweroff,,0.200689267327,-0.000339090336634,0.0612727435644,0.200674,0.200812,2.90315264242e-05,8.74798760452e-06,-0.000340353,-0.000336279,1.07092937594e-06,3.03037009944e-07,0.0612377,0.0612761,8.00818165591e-06,2.39261694418e-06,4.50369309022,200,100
0.8,5,poweroff,,0.195063811881,-0.000326759871287,0.142053851485,0.195063,0.195074,2.17416364385e-06,6.32580758358e-07,-0.00032876,-0.000326562,4.20466093649e-07,1.23660696911e-07,0.141942,0.142065,2.45083885977e-05,7.27438473462e-06,4.66748131394,200,100
0.8,10,poweroff,,0.176843683168,-0.000197210168317,0.279956980198,0.176778,0.176852,1.60011946912e-05,4.8461886627e-06,-0.000197977,-0.000196789,1.65381890451e-07,3.37068527275e-08,0.279952,0.279993,9.2970560634e-06,2.83995711864e-06,4.45552863175,200,100
