# Database statistics for 'cap' extracted on 2017-03-21 20:52:58 
#
#mach,alpha,config,Label,CA,CY,CN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,nOrders,nIter,nStats
0.95,0,poweroff,,0.359660980198,-0.000267983821782,0.0022010370297,0.358013,0.359834,0.000376289097313,0.000112154728914,-0.000283094,-0.000266238,3.54695526772e-06,1.04394932968e-06,0.00218798,0.00234848,2.99378076985e-05,8.75775024594e-06,2.55024958102,200,100
0.95,1,poweroff,,0.359402118812,-0.00018664449505,0.0251034009901,0.357796,0.35957,0.000364671567606,0.000108600763267,-0.000198238,-0.000184766,3.42136187818e-06,1.045854946e-06,0.0249955,0.0262058,0.000238177983826,7.03487522179e-05,2.57594068222,200,100
0.95,2,poweroff,,0.358671217822,-0.00013761270297,0.0480620594059,0.357189,0.358839,0.000360404712114,0.000108078069693,-0.000148689,-0.000121868,3.08330581413e-06,6.11819766454e-07,0.0478431,0.050201,0.000475474631899,0.000141311736912,2.53807418576,200,100
0.95,5,poweroff,,0.354159277228,-1.05530499208e-05,0.116842554455,0.353631,0.354206,0.000111296243593,3.26990400138e-05,-1.26628e-05,1.37472e-05,5.06682800754e-06,1.50480699449e-06,0.116566,0.119498,0.000587973975231,0.00017470991108,2.75039962021,200,100
0.95,10,poweroff,,0.33922560396,-6.34225683168e-06,0.22844750495,0.339213,0.339271,6.21094404253e-06,9.2826357643e-07,-7.15768e-06,1.0971e-06,1.63851371082e-06,4.92244699434e-07,0.228404,0.228873,9.59835612743e-05,2.86054318736e-05,3.07000693574,200,100
1.1,0,poweroff,,0.518274009901,-0.000329649871287,-0.000116813277228,0.517787,0.518321,0.000104391636463,3.07994348669e-05,-0.000330799,-0.000328248,4.11510852169e-07,1.00328941956e-07,-0.000133147,-0.000114658,4.08929419488e-06,1.2207852632e-06,3.35837569189,200,100
1.1,1,poweroff,,0.517898356436,-0.000258038316832,0.020491160396,0.517281,0.517957,0.000130636490904,3.85235919744e-05,-0.00025861,-0.000255124,6.34683251954e-07,1.69230553996e-07,0.0204789,0.0206164,2.71087216217e-05,8.02515501223e-06,3.31609356028,200,100
1.1,2,poweroff,,0.517022693069,-0.000236157623762,0.0409932079208,0.516408,0.517082,0.000131348206452,3.87487591625e-05,-0.000237619,-0.00023168,1.15351115177e-06,3.34546692326e-07,0.0409618,0.0413081,6.74031519126e-05,1.99496985163e-05,3.33592485595,200,100
1.1,5,poweroff,,0.513279118812,-4.20719673267e-05,0.10196349505,0.512902,0.513315,8.02047240811e-05,2.35979450356e-05,-5.93774e-05,-3.8191e-05,6.16152317743e-06,1.91721064218e-06,0.10186,0.102995,0.000227087788833,6.74851638261e-05,3.20282704884,200,100
1.1,10,poweroff,,0.501671752475,0.000192304465347,0.201954059406,0.501625,0.50193,3.86987363727e-05,7.06603996535e-06,0.00017004,0.000212239,7.80207407886e-06,2.04546932044e-06,0.201778,0.203269,0.000361653486083,0.000110651009489,2.63066130321,200,100
1.4,0,poweroff,,0.684113376238,-0.000141778465347,-0.00133595584158,0.683983,0.684121,2.19895796587e-05,5.40663325632e-06,-0.000181648,-0.000102912,7.63381887038e-06,1.03155417819e-06,-0.00134686,-0.00130921,3.70996204174e-06,3.50006309703e-07,4.39158486641,200,100
1.4,1,poweroff,,0.684054881188,-0.000151935287129,0.0189737950495,0.684054,0.684056,3.79867843406e-07,8.05918699611e-08,-0.00015309,-0.000151816,2.51937927945e-07,7.33410992663e-08,0.0189647,0.0189742,1.31083649792e-06,3.14710144812e-07,4.35147036728,200,100
1.4,2,poweroff,,0.684613673267,-0.000148346089109,0.0385080534653,0.6846,0.684615,3.12482525733e-06,9.18371352219e-07,-0.000148461,-0.000146811,2.84969030765e-07,7.97270259283e-08,0.0384846,0.0385099,4.6360738843e-06,1.330507422e-06,4.74427503575,200,100
1.4,5,poweroff,,0.685685316832,4.27096821782e-05,0.0958084930693,0.6855,0.685696,3.2135520797e-05,6.87742828403e-06,1.00631e-05,0.000106844,1.00495708143e-05,1.24668605121e-06,0.0957678,0.0958128,9.86609613553e-06,2.50989179681e-06,4.40083017564,200,100
1.4,10,poweroff,,0.68010849505,-0.000149149455446,0.184026267327,0.680087,0.680111,5.34849615652e-06,1.61490888074e-06,-0.000149445,-0.000145942,6.59010802729e-07,1.88042826384e-07,0.184014,0.184145,2.67096196892e-05,7.95913386502e-06,4.57671812851,200,100
2.2,0,poweroff,,0.825906811881,-8.36054824752e-05,0.000640509805941,0.823178,0.931875,0.0133266767442,0.00233678574606,-9.08528e-05,-9.35743e-06,1.45097254365e-05,4.11418084296e-06,-1.56796e-05,0.000932735,0.000104591038452,1.39366435646e-05,1.48417412444,200,100
2.2,1,poweroff,,0.825637693069,-8.72849569307e-05,0.016559409901,0.822986,0.93176,0.0133536551556,0.00234858684778,-0.000105108,-9.15185e-06,1.46957885246e-05,3.849730514e-06,0.0157306,0.0176558,0.00021980939921,2.19332079909e-05,1.48520385066,200,100
2.2,2,poweroff,,0.825206980198,-0.000101649562079,0.0321610425743,0.822425,0.931422,0.0133592556004,0.0023422066944,-0.000111065,-8.91437e-06,1.84158065058e-05,5.00122047609e-06,0.0309541,0.035278,0.000484957933533,3.81818977908e-05,1.4896167552,200,100
2.2,5,poweroff,,0.822498019802,-6.06778654455e-05,0.0786861663366,0.818666,0.929086,0.0133282650524,0.0022578567772,-6.63442e-05,-8.03701e-06,1.0330155793e-05,2.99895031322e-06,0.0764565,0.0881301,0.00137430468874,0.000136325546134,1.49920172471,200,100
2.2,10,poweroff,,0.810965613861,-4.54137417822e-05,0.156742336634,0.807083,0.921046,0.0136144239549,0.00225816588746,-6.38699e-05,-6.27022e-06,9.0627882596e-06,1.93863548355e-06,0.153331,0.175701,0.00270009438514,0.000335850585664,1.51449441513,200,100
