# Database statistics for 'fin2' extracted on 2017-03-21 21:20:37 
#
#mach,alpha,config,Label,CA,CY,CN,CLL,CLM,CLN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,CLL_min,CLL_max,CLL_std,CLL_err,CLM_min,CLM_max,CLM_std,CLM_err,CLN_min,CLN_max,CLN_std,CLN_err,nOrders,nIter,nStats
0.5,0,poweroff,,0.0442917128713,0.00480168178218,0.00390299990099,0.00282892693069,-0.00775262782178,-0.0386313683168,0.0442908,0.0442918,1.71575902631e-07,4.82372437357e-08,0.00480117,0.00480174,1.19647965808e-07,3.59264374923e-08,0.00390039,0.00390347,7.73966887323e-07,2.39221956673e-07,0.00282717,0.00282925,5.22393089302e-07,1.61473171606e-07,-0.0077535,-0.00774783,1.41641200861e-06,4.37620307645e-07,-0.0386315,-0.0386305,1.64063917193e-07,4.45761113489e-08,5.02382008426,200,100
0.5,1,poweroff,,0.0440551534653,0.00454286405941,0.0317533247525,0.0231602386139,-0.0562151049505,-0.0380042405941,0.0440533,0.0440556,5.63680331505e-07,1.7423354078e-07,0.00454204,0.00454308,2.51467684745e-07,7.7793131362e-08,0.0317488,0.0317543,1.37642138527e-06,4.25813723044e-07,0.0231573,0.0231609,9.05644598077e-07,2.80229043519e-07,-0.0562168,-0.0562072,2.39336443409e-06,7.40553445701e-07,-0.0380047,-0.0380022,6.03484636507e-07,1.86277765556e-07,4.73285424021,200,100
0.5,2,poweroff,,0.0435838346535,0.00408728851485,0.0592318445545,0.0432478821782,-0.104004475248,-0.0368683356436,0.0435823,0.0435842,4.24598970623e-07,1.29885326423e-07,0.00408658,0.00408747,2.06620071e-07,6.36279485885e-08,0.0592265,0.0592327,1.38001831294e-06,4.212198222e-07,0.0432445,0.0432484,8.6806898932e-07,2.64781060315e-07,-0.104006,-0.103995,2.41936927959e-06,7.37160729147e-07,-0.0368687,-0.0368666,4.66625585785e-07,1.42827182147e-07,5.05536930014,200,100
0.5,5,poweroff,,0.0414872752475,0.00196965257426,0.141861069307,0.103650346535,-0.24775139604,-0.0316281148515,0.0414864,0.0414874,1.6192281537e-07,4.43936040353e-08,0.00196935,0.0019697,7.01293495903e-08,2.1040954878e-08,0.141851,0.141862,2.21720288394e-06,6.52671585112e-07,0.103644,0.103651,1.45857412784e-06,4.35139672578e-07,-0.247753,-0.247734,3.73126795512e-06,1.09596921255e-06,-0.0316282,-0.0316275,1.12914704174e-07,2.93240684438e-08,5.05257042607,200,100
0.5,10,poweroff,,0.0356829841584,-0.00428368960396,0.276989544554,0.201892742574,-0.483178475248,-0.0165258881188,0.035682,0.0356832,2.99416155727e-07,9.22416112807e-08,-0.00428379,-0.00428361,5.77622438623e-08,1.74188074071e-08,0.276969,0.276992,4.6999573465e-06,1.40353514067e-06,0.201879,0.201894,2.90664471035e-06,8.58048672713e-07,-0.483182,-0.483143,7.73265425132e-06,2.29843683428e-06,-0.0165261,-0.0165256,1.78157305456e-07,5.48815105289e-08,4.91909850382,200,100
0.8,0,poweroff,,0.035891839604,0.000632659544554,0.00311860653465,0.00226276980198,-0.00609733752475,-0.0251047128713,0.0358893,0.0358922,5.43563454706e-07,1.60783970434e-07,0.000632025,0.000632765,1.46398853317e-07,4.11983231659e-08,0.00311603,0.00311905,7.38937470584e-07,2.29142501816e-07,0.00226126,0.00226303,4.27597433047e-07,1.32665573739e-07,-0.00609804,-0.00609355,1.16472357315e-06,3.62482017307e-07,-0.0251052,-0.0251031,3.90395424401e-07,1.11552944408e-07,4.46623257841,200,100
0.8,1,poweroff,,0.0357205613861,0.00039031390099,0.0320767534653,0.0232932851485,-0.0563700811881,-0.0245385564356,0.0357176,0.0357209,6.43469909291e-07,1.91383705607e-07,0.000389513,0.000390421,2.10520641962e-07,6.26734895871e-08,0.0320697,0.0320779,2.03282782878e-06,6.26214147409e-07,0.0232886,0.023294,1.30227418282e-06,3.99776670328e-07,-0.0563719,-0.056359,3.2126517492e-06,9.89589423813e-07,-0.0245388,-0.0245367,4.37005073171e-07,1.27506163702e-07,4.49074841418,200,100
0.8,2,poweroff,,0.035329949505,-7.52747475248e-05,0.0609987564356,0.0442852653465,-0.106497485149,-0.0234132663366,0.0353263,0.0353306,1.04707265319e-06,3.23639727578e-07,-7.59406e-05,-7.51546e-05,1.98621184593e-07,6.08585889941e-08,0.060989,0.0610003,1.84811468514e-06,5.15686219739e-07,0.0442786,0.0442863,1.25109343412e-06,3.46881581643e-07,-0.1065,-0.106482,2.88599850211e-06,7.8712410485e-07,-0.0234137,-0.0234111,7.06725432663e-07,2.18943457596e-07,4.50369309022,200,100
0.8,5,poweroff,,0.0336816663366,-0.0023398950495,0.148324405941,0.107672534653,-0.258127148515,-0.018066219802,0.0336803,0.0336818,3.51876786412e-07,1.06382925005e-07,-0.00233994,-0.00233961,5.95299036657e-08,1.73600200757e-08,0.148308,0.148326,3.32163093015e-06,9.66820859446e-07,0.107662,0.107674,2.30610192057e-06,6.80826521573e-07,-0.25813,-0.258101,5.3904685566e-06,1.57755293646e-06,-0.0180668,-0.0180661,1.34987936373e-07,3.78755126095e-08,4.66748131394,200,100
0.8,10,poweroff,,0.0300391980198,-0.0083192150495,0.293491069307,0.212596217822,-0.512323851485,-0.0043692990099,0.0300377,0.0300395,2.78247769785e-07,7.44325064731e-08,-0.00831924,-0.00831902,3.1704819335e-08,8.02280166383e-09,0.293478,0.293492,2.61472383011e-06,7.52053294926e-07,0.212587,0.212597,1.94276500108e-06,5.61900946138e-07,-0.512326,-0.512304,3.9960032969e-06,1.15081116462e-06,-0.0043696,-0.00436917,1.40328503914e-07,4.28116875871e-08,4.45552863175,200,100
0.95,0,poweroff,,0.0430279138614,0.000614717257426,0.00285974049505,0.00207902277228,-0.00642869277228,-0.0299099772277,0.04302,0.0431227,1.42355435074e-05,3.57921730755e-06,0.00056691,0.000932498,7.29509671904e-05,2.19533578107e-05,0.00268606,0.00315241,0.000142916719018,4.32733479918e-05,0.0019683,0.00228652,0.000100996532233,3.06091941685e-05,-0.00704022,-0.00588927,0.000309498545057,9.36453105375e-05,-0.0306387,-0.0298069,0.000163498376703,4.90038436924e-05,2.55024958102,200,100
0.95,1,poweroff,,0.0429601534653,0.000546774663366,0.0367366287129,0.0265748019802,-0.0670892762376,-0.029743349505,0.0429477,0.0430709,2.3336770647e-05,6.93826432058e-06,0.000527403,0.000748768,3.55697399783e-05,9.90801195572e-06,0.0353705,0.03701,0.000339303738847,0.000102017030725,0.0256637,0.0267626,0.00022649460815,6.80963896493e-05,-0.0677003,-0.0638279,0.000788315075994,0.000236166775538,-0.0302487,-0.0296939,9.29292316966e-05,2.64048815319e-05,2.57594068222,200,100
0.95,2,poweroff,,0.0427837227723,0.000200607089109,0.0701417732673,0.0507877772277,-0.126449772277,-0.0289740069307,0.0427685,0.0429065,2.95394211557e-05,8.95877398348e-06,0.00017403,0.000292384,1.36886836519e-05,1.89953249518e-06,0.0679968,0.0703857,0.000445305249159,0.000129108339553,0.04932,0.0509511,0.000302268130882,8.74375488795e-05,-0.126993,-0.121632,0.000986936693639,0.000284568644279,-0.0292741,-0.028948,4.18021939294e-05,8.71083952031e-06,2.53807418576,200,100
0.95,5,poweroff,,0.0422558,-0.00196752455446,0.170034148515,0.123234871287,-0.303914425743,-0.0244110544554,0.0422516,0.0422861,6.84740320801e-06,1.96011719189e-06,-0.00199149,-0.00194558,7.83305872312e-06,1.87368391435e-06,0.169501,0.170212,8.25696688898e-05,1.00475503147e-05,0.122877,0.123348,5.35830369505e-05,5.76331519008e-06,-0.304461,-0.303067,0.00018706944475,3.49854504412e-05,-0.0244637,-0.0243996,1.88120275659e-05,5.57161093543e-06,2.75039962021,200,100
