# Database statistics for 'fins' extracted on 2017-03-21 20:52:58 
#
#mach,alpha,config,Label,CA,CY,CN,CLL,CLM,CLN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,CLL_min,CLL_max,CLL_std,CLL_err,CLM_min,CLM_max,CLM_std,CLM_err,CLN_min,CLN_max,CLN_std,CLN_err,nOrders,nIter,nStats
0.5,0,poweroff,,0.176259514851,-3.93647386139e-05,0.0133431475248,-5.75534534653e-05,-0.0260773158416,9.61869455446e-05,0.176246,0.176261,3.15165793674e-06,9.48683298052e-07,-3.94362e-05,-3.93213e-05,3.41581411669e-08,9.9598243702e-09,0.0133359,0.0133446,2.14801746307e-06,6.63505616382e-07,-5.77084e-05,-5.71827e-05,1.59749168835e-07,4.98144924079e-08,-0.0260794,-0.026068,2.93664901887e-06,9.10692533784e-07,9.60784e-05,9.63456e-05,7.61525040054e-08,2.27643314124e-08,5.02382008426,200,100
0.5,1,poweroff,,0.175762405941,-3.54162138614e-05,0.0698129287129,-1.48348039604e-05,-0.124754277228,9.70730158416e-05,0.175747,0.175765,3.98556359686e-06,1.21311317047e-06,-3.56958e-05,-3.51846e-05,1.68005252175e-07,5.22235779231e-08,0.0698025,0.0698151,3.06827705494e-06,9.47394603453e-07,-1.49669e-05,-1.47582e-05,6.16476058825e-08,1.91518894965e-08,-0.124757,-0.124741,4.15568038271e-06,1.28612165478e-06,9.65799e-05,9.7741e-05,3.84530630881e-07,1.19794050903e-07,4.73285424021,200,100
0.5,2,poweroff,,0.17473449505,-8.97677326733e-05,0.125575376238,-7.80098108911e-05,-0.222151792079,0.00019341790099,0.174718,0.174737,4.14017688046e-06,1.2565117517e-06,-8.99083e-05,-8.9708e-05,5.09240690995e-08,1.41731654443e-08,0.125564,0.125577,2.92429727582e-06,8.90010568409e-07,-7.81661e-05,-7.79253e-05,8.44890969602e-08,2.61045727947e-08,-0.222154,-0.222137,3.75570017382e-06,1.14208858528e-06,0.000193328,0.000193648,8.72974322772e-08,2.47033266289e-08,5.05536930014,200,100
0.5,5,poweroff,,0.170061970297,-0.00010531619802,0.293140445545,-2.5513029703e-05,-0.514909386139,0.000222673376238,0.170045,0.170064,4.17786587603e-06,1.25873187796e-06,-0.000106013,-0.000105162,2.45951014192e-07,7.63874013769e-08,0.293119,0.293143,4.72087264866e-06,1.40506861818e-06,-2.5611e-05,-2.50095e-05,1.37401047415e-07,4.21960213142e-08,-0.514912,-0.51488,6.10464892972e-06,1.78881010287e-06,0.000222436,0.000223678,3.50478226368e-07,1.08674687635e-07,5.05257042607,200,100
0.5,10,poweroff,,0.157273217822,-6.75735811881e-06,0.567244623762,-0.000205272386139,-0.994426643564,2.70126514851e-05,0.157254,0.157276,4.86776416116e-06,1.4822681309e-06,-7.46969e-06,-6.40783e-06,3.07799161537e-07,9.28385743608e-08,0.567204,0.567249,9.00478583992e-06,2.67814033307e-06,-0.000206072,-0.000204898,3.54207439649e-07,1.08256577739e-07,-0.994433,-0.994367,1.29519937365e-05,3.83110769082e-06,2.63843e-05,2.83008e-05,5.55335706446e-07,1.67504361322e-07,4.91909850382,200,100
0.8,0,poweroff,,0.142954693069,-0.000129358009901,0.0129915237624,-0.000141772534653,-0.0252224019802,0.000260552207921,0.142931,0.142957,5.35981116532e-06,1.61355949919e-06,-0.000129665,-0.00012891,1.44491494494e-07,3.8247019427e-08,0.0129795,0.0129933,3.37137479713e-06,1.03594334491e-06,-0.0001422,-0.000140624,3.02020475483e-07,8.83461341307e-08,-0.0252249,-0.0252079,4.48274977929e-06,1.38572456652e-06,0.0002598,0.000261258,2.5115863461e-07,6.32764307864e-08,4.46623257841,200,100
0.8,1,poweroff,,0.142537821782,-0.000176093485149,0.0719361069307,-0.000162854267327,-0.12808580198,0.000345266366337,0.142514,0.142541,5.46527478788e-06,1.64051428787e-06,-0.00017646,-0.000174756,2.71617400318e-07,7.6851521304e-08,0.0719179,0.0719391,5.40324906703e-06,1.66529933681e-06,-0.000163162,-0.000161113,5.77929796194e-07,1.67022314155e-07,-0.12809,-0.128062,7.62619223204e-06,2.35658756478e-06,0.000342979,0.000346207,5.21066361346e-07,1.48644395944e-07,4.49074841418,200,100
0.8,2,poweroff,,0.141557465347,-0.000184338554455,0.130936346535,-0.000226353019802,-0.230885544554,0.000364173643564,0.141537,0.14156,5.08650779155e-06,1.54805531152e-06,-0.000187663,-0.000182483,1.13624338903e-06,3.46753971745e-07,0.13091,0.130939,5.84525811636e-06,1.73238232352e-06,-0.000227237,-0.000223654,1.07580747459e-06,3.3738871368e-07,-0.23089,-0.230846,8.48706033432e-06,2.49444729885e-06,0.000360779,0.000369737,2.08987353629e-06,6.40518402739e-07,4.50369309022,200,100
0.8,5,poweroff,,0.137188821782,-0.00014650549505,0.308636415842,-0.000278149079208,-0.541105960396,0.000304632584158,0.137188,0.137195,1.52468818175e-06,4.57295103713e-07,-0.000147024,-0.000143456,7.31359247556e-07,2.17239482308e-07,0.308601,0.30864,7.42122634943e-06,2.18626676695e-06,-0.00027872,-0.000274932,7.6517717722e-07,2.31993373689e-07,-0.541112,-0.541047,1.22166262233e-05,3.60241942902e-06,0.000299346,0.000305535,1.27493355499e-06,3.79044823285e-07,4.66748131394,200,100
0.8,10,poweroff,,0.127063287129,-7.8808409901e-06,0.603711455446,-0.00020375849505,-1.0606260396,5.18743217822e-05,0.127059,0.127093,7.59277487942e-06,2.30998907031e-06,-9.1205e-06,-5.02794e-06,1.15718122916e-06,3.57776083985e-07,0.603683,0.603714,5.61385265511e-06,1.60938153055e-06,-0.000204515,-0.000201663,9.05924325559e-07,2.79438367087e-07,-1.06063,-1.06057,1.13520799264e-05,3.28513001385e-06,4.69787e-05,5.39596e-05,1.99877279179e-06,6.16945415961e-07,4.45552863175,200,100
