# Database statistics for 'base' extracted on 2017-04-09 19:20:23 
#
#mach,alpha,beta,q,T,config,Label,CA,CY,CN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,nOrders,nIter,nStats
0.8,0,0,1250,475.33,bullet,,0.378427418706,0,0,0.378427347,0.37842763,7.26564017197e-08,2.59515618899e-08,0,0,0,0,0,0,0,0,6.78886594389,200,50
0.8,4,0,1250,475.33,bullet,,0.386770552745,0,0,0.386770453,0.386770827,1.03209636868e-07,3.7446965113e-08,0,0,0,0,0,0,0,0,6.88895058155,200,50
0.8,10,0,1250,475.33,bullet,,0.419475885255,0,0,0.419475541,0.419476789,3.26071797886e-07,1.17817799585e-07,0,0,0,0,0,0,0,0,6.50839380308,200,50
0.95,0,0,1250,475.33,bullet,,0.411429648843,0,0,0.411429642,0.411429664,7.15205317225e-09,2.61148824121e-09,0,0,0,0,0,0,0,0,7.7115410072,200,50
0.95,4,0,1250,475.33,bullet,,0.417754583275,0,0,0.417754579,0.417754608,7.1922573568e-09,2.58979260095e-09,0,0,0,0,0,0,0,0,7.97921927812,200,50
0.95,10,0,1250,475.33,bullet,,0.442362444353,0,0,0.442362392,0.442362624,6.2903543817e-08,2.27240472755e-08,0,0,0,0,0,0,0,0,7.44613181378,200,50
0.95,30,0,1250,475.33,bullet,,0.552940943804,0,0,0.552940795,0.552941555,1.96951772697e-07,7.11503697965e-08,0,0,0,0,0,0,0,0,7.16120634899,200,50
1.1,0,0,1250,475.33,bullet,,0.452864447353,0,0,0.452864433,0.45286445,4.25105997266e-09,1.52259604025e-09,0,0,0,0,0,0,0,0,8.57378199102,200,50
1.1,4,0,1250,475.33,bullet,,0.456680663,0,0,0.456680656,0.456680664,1.89943232332e-09,6.56615469365e-10,0,0,0,0,0,0,0,0,8.81583795041,200,50
1.1,10,0,1250,475.33,bullet,,0.470208776275,0,0,0.470208774,0.470208787,3.36112977979e-09,1.21213588605e-09,0,0,0,0,0,0,0,0,8.77438777496,200,50
1.1,30,0,1250,475.33,bullet,,0.612808387196,0,0,0.612808386,0.61280839,1.26831072726e-09,4.50613618872e-10,0,0,0,0,0,0,0,0,8.62936697262,200,50
1.25,0,0,1250,475.33,bullet,,0.433866523804,0,0,0.433866511,0.433866526,3.69429664473e-09,1.32238401927e-09,0,0,0,0,0,0,0,0,8.90112961724,200,50
1.25,4,0,1250,475.33,bullet,,0.438605656608,0,0,0.438577159,0.438636571,1.45338928217e-05,5.63409943894e-07,0,0,0,0,0,0,0,0,2.29983481322,200,50
1.25,10,0,1250,475.33,bullet,,0.459043219922,0,0,0.459043219,0.45904322,2.68849192412e-10,7.40804255098e-11,0,0,0,0,0,0,0,0,9.8684318132,200,50
1.25,30,0,1250,475.33,bullet,,0.572245344431,0,0,0.572245342,0.572245345,7.47673574024e-10,2.64520013252e-10,0,0,0,0,0,0,0,0,9.49133735627,200,50
1.5,0,0,1250,475.33,bullet,,0.365012680843,0,0,0.36501268,0.365012681,3.63671323451e-10,1.27864763783e-10,0,0,0,0,0,0,0,0,9.93682875967,200,50
