# Database statistics for 'body' extracted on 2017-04-09 19:35:55 
#
#mach,alpha,beta,q,T,config,Label,CA,CY,CN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,nOrders,nIter,nStats
0.8,0,0,1250,475.33,bullet,,2.67307906647e-05,-0.00403277030333,-0.000861816638176,2.6730763e-05,2.67308019e-05,1.09155191469e-11,3.96854363586e-12,-0.00403283673,-0.0040327544,2.02892514447e-08,7.26391481397e-09,-0.000861844922,-0.000861716182,3.24908022736e-08,1.16951486557e-08,6.78886594389,200,50
0.8,4,0,1250,475.33,bullet,,2.73408588725e-05,-0.00517423662059,0.073868849598,2.73408238e-05,2.73408719e-05,1.32716427524e-11,4.82050976141e-12,-0.00517424541,-0.00517420485,1.04424128403e-08,3.76972467471e-09,0.0738688039,0.0738689866,5.04176575445e-08,1.83278536667e-08,6.88895058155,200,50
0.8,10,0,1250,475.33,bullet,,2.97167984706e-05,-0.0070467435651,0.171623077549,2.97167197e-05,2.97168254e-05,2.79496837411e-11,1.01228060997e-11,-0.00704676585,-0.00704670814,1.50571195292e-08,4.86648747662e-09,0.171623034,0.171623146,3.58856100523e-08,1.30150808001e-08,6.50839380308,200,50
0.95,0,0,1250,475.33,bullet,,2.76302887098e-05,-0.00330590943647,-0.00619008094608,2.76302884e-05,2.76302891e-05,2.65134003921e-13,9.40340039215e-14,-0.00330592162,-0.00330590664,3.64324560297e-09,1.30236005531e-09,-0.00619008267,-0.00619007324,2.25944646915e-09,8.05551338789e-10,7.7115410072,200,50
0.95,4,0,1250,475.33,bullet,,2.82396744137e-05,-0.0040481082302,0.0819033564608,2.82396638e-05,2.82396767e-05,3.23522400389e-12,1.16097631511e-12,-0.0040481141,-0.00404810703,1.73446210243e-09,6.21898811522e-10,0.081903355,0.0819033574,8.47390095672e-10,3.08124705186e-10,7.97921927812,200,50
0.95,10,0,1250,475.33,bullet,,3.03559380353e-05,-0.00516938318353,0.219136201118,3.03559152e-05,3.03559441e-05,7.40314780765e-12,2.67116032276e-12,-0.00516938554,-0.0051693661,4.32062079032e-09,1.49671804303e-09,0.219136195,0.219136233,9.59707279154e-09,3.44613349037e-09,7.44613181378,200,50
0.95,30,0,1250,475.33,bullet,,4.02509894039e-05,-0.0593697532314,1.37122760157,4.02508845e-05,4.02510212e-05,3.8355442699e-11,1.3979093421e-11,-0.0593699923,-0.0593696774,8.69400773804e-08,3.16252017707e-08,1.37122716,1.37122774,1.64094336193e-07,5.98714298902e-08,7.16120634899,200,50
1.1,0,0,1250,475.33,bullet,,2.13747350941e-05,-0.00698797534804,-0.012424382598,2.13747349e-05,2.13747358e-05,2.52370536899e-13,9.12072153913e-14,-0.00698797908,-0.00698797446,1.1844300683e-09,4.27272675266e-10,-0.0124243831,-0.0124243825,1.61476273173e-10,5.81444829309e-11,8.57378199102,200,50
1.1,4,0,1250,475.33,bullet,,2.19452020863e-05,-0.00693258541941,0.0765524874529,2.19452019e-05,2.19452033e-05,3.10609526577e-13,1.08312279184e-13,-0.00693258568,-0.00693258364,4.44475508246e-10,1.53352146971e-10,0.0765524871,0.0765524889,4.70024171406e-10,1.69591329329e-10,8.81583795041,200,50
1.1,10,0,1250,475.33,bullet,,2.39754532549e-05,-0.00772187777392,0.226892650706,2.39754514e-05,2.39754536e-05,5.48192653949e-13,1.95332257189e-13,-0.00772187808,-0.00772187512,5.96460403965e-10,1.97680831181e-10,0.22689265,0.226892655,1.14265115895e-09,3.99508079361e-10,8.77438777496,200,50
1.1,30,0,1250,475.33,bullet,,4.1971447849e-05,-0.0335190521451,2.43011781,4.19714477e-05,4.19714487e-05,2.50781171204e-13,8.91661865175e-14,-0.0335190601,-0.0335190497,2.87615714014e-09,1.04644610343e-09,2.43011781,2.43011781,0,0,8.62936697262,200,50
1.25,0,0,1250,475.33,bullet,,1.85565023373e-05,-0.0058813745349,0.00341312104314,1.85565022e-05,1.85565032e-05,2.3259894321e-13,8.24300782251e-14,-0.00588137594,-0.00588137424,4.30354949537e-10,1.54762575793e-10,0.00341312048,0.00341312115,1.64394196261e-10,5.87800674215e-11,8.90112961724,200,50
1.25,4,0,1250,475.33,bullet,,1.91340596078e-05,-0.00699719600902,0.113035581353,1.91326292e-05,1.91356698e-05,7.5678038953e-10,1.35454712456e-10,-0.00700335339,-0.00699092228,4.62172421413e-06,3.10559182033e-07,0.113028014,0.113042778,3.96151967188e-06,6.19004169624e-07,2.29983481322,200,50
1.25,10,0,1250,475.33,bullet,,2.14309147431e-05,-0.00863982063941,0.306973934,2.14309147e-05,2.14309151e-05,9.12976210203e-14,3.13020845881e-14,-0.00863982068,-0.00863982028,8.58501148727e-11,2.92001648983e-11,0.306973934,0.306973934,0,0,9.8684318132,200,50
1.25,30,0,1250,475.33,bullet,,3.44681030039e-05,-0.0138028824176,2.58070088667,3.44681024e-05,3.44681031e-05,1.64448913262e-13,5.79080418605e-14,-0.0138028884,-0.0138028807,2.05566704799e-09,7.45381557275e-10,2.58070088,2.58070089,4.71404517926e-09,1.6216113091e-09,9.49133735627,200,50
1.5,0,0,1250,475.33,bullet,,1.30833908e-05,0.00444140316471,-0.00023811427402,1.30833908e-05,1.30833908e-05,1.69406589451e-21,0,0.00444140283,0.00444140322,9.29548265315e-11,3.29194565552e-11,-0.00023811432,-0.000238114268,1.16492702723e-11,4.04362253683e-12,9.93682875967,200,50
1.5,10,0,1250,475.33,bullet,,1.5791815602e-05,0.00184030178725,0.35749493902,1.57918156e-05,1.57918157e-05,1.38648386035e-14,1.85201035523e-15,0.00184030078,0.0018403019,2.42843275799e-10,8.2853486171e-11,0.357494939,0.35749494,1.38648384547e-10,1.85201027792e-11,10.1309288913,200,50
1.5,30,0,1250,475.33,bullet,,2.32891664137e-05,-0.00174772195431,2.53283625,2.32891664e-05,2.32891665e-05,3.44116244447e-14,1.29640746828e-14,-0.00174772404,-0.00174772137,7.07797619532e-10,2.56465917924e-10,2.53283625,2.53283625,0,0,9.74558114832,200,50
1.75,0,0,1250,475.33,bullet,,1.00565152e-05,0.00104941198863,-0.000330703981392,1.00565152e-05,1.00565152e-05,0,0,0.00104941183,0.00104941202,4.35223452877e-11,1.52330924225e-11,-0.000330704011,-0.000330703977,7.89658260649e-12,2.77890066853e-12,10.2876349251,200,50
1.75,4,0,1250,475.33,bullet,,1.04573011e-05,0.000737284343098,0.131501336,1.04573011e-05,1.04573011e-05,1.69406589451e-21,6.27616324419e-22,0.00073728434,0.000737284347,2.0508716569e-12,6.74057219314e-13,0.131501336,0.131501336,2.77555756156e-17,0,10.1945849663,200,50
1.75,10,0,1250,475.33,bullet,,1.26021389e-05,0.000829637009686,0.39649113298,1.26021389e-05,1.26021389e-05,0,6.27616324419e-22,0.000829629673,0.000829638057,1.98918783792e-09,7.05363996032e-10,0.396491132,0.396491133,1.38648384547e-10,1.85201099757e-11,9.55478086092,200,50
