# Database statistics for 'bullet_no_base' extracted on 2017-04-09 19:35:55 
#
#mach,alpha,beta,q,T,config,Label,CA,CY,CN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,nOrders,nIter,nStats
0.8,0,0,1250,475.33,bullet,,0.129348525294,-0.0036302568151,-0.000111566479765,0.129348525,0.129348526,4.55645099314e-10,1.21444465618e-10,-0.00363032333,-0.00363024089,2.03155879852e-08,7.27317131124e-09,-0.000111594829,-0.000111465804,3.255984194e-08,1.17198366066e-08,6.78886594389,200,50
0.8,4,0,1250,475.33,bullet,,0.126016349569,-0.00460202229314,0.185440413725,0.126016349,0.12601635,4.95267879752e-10,1.75371487664e-10,-0.00460203111,-0.00460199043,1.04700102983e-08,3.77956311211e-09,0.185440368,0.185440551,5.05867836865e-08,1.83922498056e-08,6.88895058155,200,50
0.8,10,0,1250,475.33,bullet,,0.108396384118,-0.00633390859098,0.453306526451,0.108396383,0.108396386,1.02224395223e-09,3.73629089795e-10,-0.00633393089,-0.00633387306,1.50739587492e-08,4.87109823234e-09,0.453306482,0.453306597,3.65981429557e-08,1.32824674396e-08,6.50839380308,200,50
0.95,0,0,1250,475.33,bullet,,0.29689518,-0.00221223663412,-0.0037626317098,0.29689518,0.29689518,0,0,-0.00221224881,-0.00221223384,3.64040461898e-09,1.30127504982e-09,-0.00376263344,-0.00376262399,2.2607481758e-09,8.0575499597e-10,7.7115410072,200,50
0.95,4,0,1250,475.33,bullet,,0.293857636,-0.00285407021588,0.175114294255,0.293857636,0.293857636,5.55111512313e-17,0,-0.00285407606,-0.00285406902,1.72699804884e-09,6.19184991088e-10,0.175114293,0.175114295,8.59620008049e-10,3.12289488003e-10,7.97921927812,200,50
0.95,10,0,1250,475.33,bullet,,0.27729395,-0.00388341110255,0.446727149118,0.27729395,0.27729395,5.55111512313e-17,0,-0.00388341346,-0.00388339402,4.31907072575e-09,1.4959330182e-09,0.446727143,0.446727181,9.59707278964e-09,3.44613348927e-09,7.44613181378,200,50
0.95,30,0,1250,475.33,bullet,,0.135236943078,-0.0581397385471,2.03467353902,0.135236943,0.135236944,2.68849199874e-10,7.40804255098e-11,-0.0581399779,-0.0581396627,8.70277065488e-08,3.16576988883e-08,2.0346731,2.03467368,1.63494377237e-07,5.95633802297e-08,7.16120634899,200,50
1.1,0,0,1250,475.33,bullet,,0.461093165,-0.00563842733314,-0.00910858967549,0.461093165,0.461093165,5.55111512313e-17,2.05657317186e-17,-0.00563843105,-0.00563842645,1.18193342799e-09,4.26333546333e-10,-0.00910859016,-0.00910858955,1.70136205166e-10,6.19554995557e-11,8.57378199102,200,50
1.1,4,0,1250,475.33,bullet,,0.458280604,-0.00556869981412,0.161471482471,0.458280604,0.458280604,1.11022302463e-16,0,-0.00556870008,-0.00556869801,4.5103443833e-10,1.5575956338e-10,0.161471482,0.161471484,6.37179482381e-10,2.22498346753e-10,8.81583795041,200,50
1.1,10,0,1250,475.33,bullet,,0.443229775,-0.00632603058059,0.432211648549,0.443229775,0.443229775,5.55111512313e-17,2.05657317186e-17,-0.00632603088,-0.00632602793,5.95286754904e-10,1.97242378907e-10,0.432211648,0.432211652,1.03495240442e-09,3.67769093963e-10,8.77438777496,200,50
