# Database statistics for 'bullet_total' extracted on 2017-04-09 19:20:23 
#
#mach,alpha,beta,q,T,config,Label,CA,CY,CN,CA_min,CA_max,CA_std,CA_err,CY_min,CY_max,CY_std,CY_err,CN_min,CN_max,CN_std,CN_err,nOrders,nIter,nStats
0.8,0,0,1250,475.33,bullet,,0.507775944118,-0.0036302568151,-0.000111566479765,0.507775872,0.507776156,7.290865816e-08,2.60360927099e-08,-0.00363032333,-0.00363024089,2.03155879852e-08,7.27317131124e-09,-0.000111594829,-0.000111465804,3.255984194e-08,1.17198366066e-08,6.78886594389,200,50
0.8,4,0,1250,475.33,bullet,,0.512786902431,-0.00460202229314,0.185440413725,0.512786803,0.512787177,1.03462459778e-07,3.75547162706e-08,-0.00460203111,-0.00460199043,1.04700102983e-08,3.77956311211e-09,0.185440368,0.185440551,5.05867836865e-08,1.83922498056e-08,6.88895058155,200,50
0.8,10,0,1250,475.33,bullet,,0.527872269471,-0.00633390859098,0.453306526451,0.527871925,0.527873175,3.269297072e-07,1.1813819279e-07,-0.00633393089,-0.00633387306,1.50739587492e-08,4.87109823234e-09,0.453306482,0.453306597,3.65981429557e-08,1.32824674396e-08,6.50839380308,200,50
0.95,0,0,1250,475.33,bullet,,0.708324828745,-0.00221223663412,-0.0037626317098,0.708324822,0.708324844,7.22154492812e-09,2.64028999823e-09,-0.00221224881,-0.00221223384,3.64040461898e-09,1.30127504982e-09,-0.00376263344,-0.00376262399,2.2607481758e-09,8.0575499597e-10,7.7115410072,200,50
0.95,4,0,1250,475.33,bullet,,0.711612219569,-0.00285407021588,0.175114294255,0.711612215,0.711612244,7.26866737048e-09,2.62132027499e-09,-0.00285407606,-0.00285406902,1.72699804884e-09,6.19184991088e-10,0.175114293,0.175114295,8.59620008049e-10,3.12289488003e-10,7.97921927812,200,50
0.95,10,0,1250,475.33,bullet,,0.719656394118,-0.00388341110255,0.446727149118,0.719656342,0.719656573,6.28850950551e-08,2.27171080544e-08,-0.00388341346,-0.00388339402,4.31907072575e-09,1.4959330182e-09,0.446727143,0.446727181,9.59707278964e-09,3.44613348927e-09,7.44613181378,200,50
0.95,30,0,1250,475.33,bullet,,0.688177886922,-0.0581397385471,2.03467353902,0.688177738,0.688178498,1.97182292801e-07,7.12363504041e-08,-0.0581399779,-0.0581396627,8.70277065488e-08,3.16576988883e-08,2.0346731,2.03467368,1.63494377237e-07,5.95633802297e-08,7.16120634899,200,50
1.1,0,0,1250,475.33,bullet,,0.913957612902,-0.00563842733314,-0.00910858967549,0.913957599,0.913957616,4.33071520979e-09,1.56078830567e-09,-0.00563843105,-0.00563842645,1.18193342799e-09,4.26333546333e-10,-0.00910859016,-0.00910858955,1.70136205166e-10,6.19554995557e-11,8.57378199102,200,50
1.1,4,0,1250,475.33,bullet,,0.914961266863,-0.00556869981412,0.161471482471,0.91496126,0.914961268,1.89963471702e-09,6.65694142265e-10,-0.00556870008,-0.00556869801,4.5103443833e-10,1.5575956338e-10,0.161471482,0.161471484,6.37179482381e-10,2.22498346753e-10,8.81583795041,200,50
1.1,10,0,1250,475.33,bullet,,0.913438551255,-0.00632603058059,0.432211648549,0.913438549,0.913438562,3.37140883643e-09,1.21576186753e-09,-0.00632603088,-0.00632602793,5.95286754904e-10,1.97242378907e-10,0.432211648,0.432211652,1.03495240442e-09,3.67769093963e-10,8.77438777496,200,50
1.1,30,0,1250,475.33,bullet,,0.926163124,-0.0322065209196,3.01439478,0.926163123,0.926163127,1.1715583447e-09,4.21239108265e-10,-0.0322065289,-0.0322065184,2.89136778888e-09,1.05102650734e-09,3.01439478,3.01439478,0,0,8.62936697262,200,50
1.25,0,0,1250,475.33,bullet,,1.01829941863,-0.00462386623647,0.00320692388863,1.01829941,1.01829942,3.44116248395e-09,1.29640743923e-09,-0.00462386763,-0.00462386594,4.27669578942e-10,1.53838963133e-10,0.00320692332,0.00320692399,1.65363765474e-10,5.91018738773e-11,8.90112961724,200,50
1.25,4,0,1250,475.33,bullet,,1.02069011,-0.0055684665951,0.188686506392,1.02066169,1.02072103,1.451606615e-05,5.64016261188e-07,-0.00557411729,-0.00556271954,4.11234124984e-06,2.84460597696e-07,0.188679515,0.188693099,3.63949903404e-06,5.89004729156e-07,2.29983481322,200,50
1.25,10,0,1250,475.33,bullet,,1.02750032,-0.00697540750392,0.494710672,1.02750032,1.02750032,0,0,-0.00697540755,-0.00697540714,8.78295682478e-11,2.99644407884e-11,0.494710672,0.494710672,0,0,9.8684318132,200,50
1.25,30,0,1250,475.33,bullet,,1.01969412373,-0.0116361090098,3.11423494,1.01969412,1.01969413,4.83483448275e-09,1.62161123677e-09,-0.0116361151,-0.0116361073,2.07518058769e-09,7.52410330346e-10,3.11423494,3.11423494,4.4408920985e-16,0,9.49133735627,200,50
1.5,0,0,1250,475.33,bullet,,1.05423692,0.00435494509255,-0.000284115941039,1.05423692,1.05423692,2.22044604925e-16,0,0.00435494476,0.00435494515,9.22877669036e-11,3.26726381655e-11,-0.000284115988,-0.000284115935,1.18486547356e-11,4.10964180232e-12,9.93682875967,200,50
